eta1,kappa_k,kappa,sig,lam,mup,sigp,rsmax,n,alpha,alpha1,alpha2,betam1,gamma,UniqueId,Name,PeakDrift,FailureType,ar,lrr,srr,alr,sdr,smr,Type
1.2407890826356311,1.042357091077159,0.9931238291441294,0.4700719738675702,0.513122708852944,4.182510954902258,6.537995745987935,0.8922253202664467,5.247176602424152,3.056553433567616e-05,3.338790469633465,1.8032501755834718,0.02252534159821752,0.48506460925076633,112,"Galeota et al. 1996, AA4",0.032017543859649125,Flexure,4.5600000000000005,0.0810530904626166,0.0288188766089303,0.2,3.125,0.4785475406271931,Rectangular
1.571135444950744,1.0108850521518877,0.9949240485858829,0.8126300568109525,0.17378823035363078,7.787904669552034,2.2353566755470333,0.4538303071135857,3.1187410142594736,0.00609663206501913,1.6051166790021862,0.6197766280152746,0.0022686431350940756,0.49677287853493407,060,"Muguruma et al. 1989, BL-1",0.07443999999999999,Flexure,2.5,0.1311400962741969,0.0458193498492474,0.2538860103626943,0.9722222222222222,0.7361143191322704,Rectangular
1.6393833265747741,1.0458384996503687,0.9660230085099754,0.7922500411653041,0.28595570834718576,5.712131891578034,1.5682085938058004,0.49270018567467216,1.7754426144414528,0.009008749897423927,0.9355565856909775,0.5772074421958796,0.003942241639595383,0.8660289795408559,216,"Paultre and Legeron, 2000, No. 1006025",0.10051399999999999,Flexure,6.557377049180328,0.118368521826517,0.0780853766152562,0.2765221463994656,0.8849557522123892,0.2297860682653917,Rectangular
1.6462258180850207,0.15057863882990796,0.9921731922039325,0.30258280848165886,0.43927398540451623,0.6712635854892159,1.3403791185105218,0.3220901147552276,3.575192286724697,0.0024915903503125204,8.678339100432733,0.7878619110506281,0.0037284958380396985,0.5378312012583946,299,"Petrovski and Ristic 1984, M1E1",0.03657190770409516,Flexure,2.0,0.4108108108108108,0.0530674434728005,0.3899296105751435,1.0,0.9287197968509692,Spiral
1.4235505873107412,0.9817957434544119,1.0303982057638938,0.8206872672365542,0.22228716264605097,1.6381616625051145,0.2820087384023493,0.6367932846358002,4.832083289649848,0.019329451403288886,7.85690601977997,0.09090556498905278,0.016131613398171527,0.9637999885735458,156,"Nosho et al. 1996, No. 1",0.01758403709465792,Flexure,7.637795275590553,0.1019904935522901,0.0084387754544073,0.339495040428016,6.047619047619048,0.4518303279873847,Rectangular
1.310522118781308,0.9887247886350595,1.0372108564738796,0.6001308605775583,0.5911567784909096,6.859229386049373,6.045854232873588,0.6083685978642892,1.2127662520369107,0.002042222004388798,4.660734569431361,0.40622779942910736,0.0025935650165004875,0.45055643404428963,096,"Atalay and Penzien 1975, No. 11",0.029813245823389022,Flexure,5.495081967213115,0.1913993624656909,0.0735869484928307,0.277760921014989,1.3333333333333333,0.3153005960815045,Rectangular
1.503709759413471,0.9745899065749956,1.0473740904986053,0.12751580031623,0.42827924115248195,1.0411026766501594,3.9405183350144517,0.9322392110586883,2.1180359792843833,0.0011827518582566143,7.0411054772857105,0.8548721009611635,0.0007639600538958125,0.5392261529924154,207,"Thomsen and Wallace 1994, C2",0.06731489361702127,Flexure,3.916666666666666,0.1557194120049234,0.1195007411637602,0.0998475336241706,1.3229166666666663,0.2230298805552627,Rectangular
1.6770840839113723,1.0010061540386133,1.0060758841105069,0.5864954217494756,0.5125183715889537,2.81024980788606,2.8165719218018426,0.964923187941412,3.8153214650910465,0.0009667510424904296,4.446139467955775,0.7732160270261209,0.0007881850328344889,0.6209837855194155,003,"Gill et al. 1979, No. 3",0.017558333333333332,Flexure,2.181818181818182,0.3144747106706088,0.1056984444198435,0.4200200818722484,1.25,0.6398198520675843,Rectangular
1.359819166795535,0.10788112590803545,0.9110319543896168,0.36804599174075264,0.46461779642823564,1.3855406797119514,2.117488183708087,0.9869488624645335,2.8093677457728443,0.013797243555107858,9.15714656021283,1.0806945858564692,0.0011107933825743668,0.5165128406859701,309,"NIST, Model N2",0.09679667884178583,Flexure,3.0,0.3627219917012447,0.1227671837882902,0.1014365114477805,0.4838709677419354,0.3431519847118773,Spiral
1.5618378854630428,0.9934689922729004,1.002879303581094,0.5599096179930863,0.7391955297121535,1.4769963736989649,4.875031585605911,0.784919891144278,2.3393187726337215,0.0019080640142522705,0.55458534395994,0.900897191496438,0.0016975662134583805,0.3631099993271978,117,"Galeota et al. 1996, CA1",0.06123684210526316,Flexure,4.5600000000000005,0.0810530904626166,0.0864566298267911,0.2,1.0416666666666667,0.2345321282928151,Rectangular
1.5995515444395183,1.020921866663174,1.0089787537995618,0.05035674438620552,0.27397638008633435,7.087411190889526,2.7955952078996407,0.591068172219026,2.309762517415851,0.009304877680650084,2.0765863917285863,1.4662458415003576,0.004359887501122723,0.36536077021850194,234,"Pujol 2002, No. 10-3-2.25S",0.032181393992417616,Flexure,2.25,0.4036498394875461,0.1072520392832728,0.1044963566001746,1.5132275132275137,0.6903085574650586,Rectangular
0.8613924771154275,1.0003979078216094,0.9558543461380697,0.6039141702157891,0.7725277666514523,8.848425970053203,2.197654451293632,0.6789515982891423,9.999571459392588,0.005427593037146312,2.7191173859166873,0.016717312740755053,0.002191947564709664,0.5611326873255501,126,"Galeota et al. 1996, BB1",0.050903508771929826,Flexure,4.5600000000000005,0.3242123618504666,0.0432283149133955,0.2,2.083333333333333,0.7609223826520778,Rectangular
