% ar	lrr	srr	alr	sdr	smr
2.25000	0.30301	0.08051	0.07844	1.51323	0.67066
4.56000	0.32421	0.04323	0.30000	2.08333	0.78689
2.00000	0.41081	0.01999	0.38993	1.80556	1.27489
2.00000	0.06200	0.15337	0.34970	1.17187	0.35343
6.55738	0.10470	0.08380	0.50605	0.88496	0.24638
4.70000	0.26135	0.06701	0.42785	2.66667	0.48527
2.00000	0.09264	0.04073	0.34991	2.00000	0.79893
2.85714	0.31616	0.03225	0.00000	2.50000	1.03237
3.00000	0.19839	0.09253	0.29999	1.25000	0.46631
3.00000	0.08565	0.00530	0.10663	3.77778	0.69394
2.00000	0.09264	0.05925	0.34991	2.00000	0.67782
2.00000	0.14601	0.09329	0.19249	0.91398	0.52222
2.00000	0.49951	0.06108	0.19991	0.83333	0.96807
1.00000	0.16347	0.19037	0.24754	0.61798	0.48998
1.63636	0.47262	0.03348	0.11602	2.08333	1.53631
3.00493	0.29001	0.12220	0.36241	1.35439	0.49120
2.50000	0.17720	0.06191	0.62894	0.97222	0.71036
4.56000	0.08105	0.04323	0.30000	2.08333	0.43786
4.00000	0.20693	0.04168	0.03201	1.85185	0.45290
6.55738	0.10490	0.07474	0.41345	0.88496	0.25882
6.55738	0.11106	0.03446	0.37104	1.91740	0.41066
3.00493	0.16230	0.05357	0.04951	1.33684	0.45659
4.00000	0.14463	0.03544	0.10000	2.02381	0.48658
6.22150	0.11341	0.01519	0.05049	2.08333	0.28018
4.70000	0.39202	0.08776	0.46170	1.91919	0.50804
10.00000	0.34793	0.07308	0.09056	0.66146	0.16183
4.49836	0.33805	0.06971	0.10139	0.79167	0.36058
4.49836	0.28084	0.05792	0.09349	0.79167	0.36102
6.55738	0.10961	0.14472	0.52977	0.81121	0.16569
2.50000	0.17720	0.14937	0.39994	0.97222	0.41986
6.55738	0.12218	0.03547	0.13607	1.91740	0.31909
3.91667	0.12699	0.06402	0.00000	1.32292	0.22169
3.00493	0.16230	0.05357	0.04951	1.33684	0.45659
3.00000	0.19839	0.09253	0.29999	1.25000	0.46631
3.00000	0.35826	0.12126	0.10019	0.48387	0.34299
6.58000	0.15255	0.07854	0.41875	1.11111	0.20921
4.56000	0.08105	0.08646	0.20000	1.04167	0.23453
3.00493	0.28950	0.12357	0.36241	1.33684	0.48702
3.00000	0.34793	0.07308	0.09056	0.66146	0.50163
3.00000	0.19901	0.07594	0.10000	1.52778	0.42467
8.00000	0.44876	0.04706	0.28113	1.33333	0.36800
3.91667	0.17210	0.13207	0.00000	1.32292	0.15683
4.00000	0.11153	0.06497	0.07227	0.82812	0.18475
2.00000	0.24957	0.03159	0.10379	1.58120	0.78562
4.56000	0.08105	0.04323	0.30000	2.08333	0.43786
3.50000	0.41773	0.10888	0.11117	1.37566	0.51192
3.00493	0.23387	0.07719	0.14319	1.33684	0.52201
6.58000	0.15255	0.05183	0.41875	1.04167	0.27964
2.00000	0.14601	0.09329	0.09624	0.91398	0.43886
4.70000	0.39202	0.08935	0.46170	2.66667	0.50219
