% gamma kappa eta1 sig lam mup sigp rsmax alpha alpha1 alpha2 betam1 n kappa_k res_min
1.12256 1.00575 1.35490 0.72541 0.81134 1.21295 1.16942 0.83202 0.00477 2.15554 0.56328 0.01399 9.67991 0.75003 0.04299
0.84187 1.09021 1.00970 0.58218 0.57030 2.02760 2.07714 0.46133 0.00733 1.01918 0.61926 0.01738 1.83947 2.71776 0.03363
0.82129 1.09044 1.29179 0.43218 0.53775 2.84828 6.30406 0.50103 0.00316 0.34077 0.38452 0.00059 1.68168 3.54029 0.03706
1.44868 1.09547 0.71607 0.40972 0.62801 0.91995 0.44166 0.70632 0.00016 5.32664 0.89327 0.02218 7.37722 0.48554 0.05473
0.88921 0.92910 1.19079 0.25829 0.22153 0.77163 1.44000 0.95260 0.00010 3.54905 0.21347 0.00111 4.51441 0.42595 0.04593
0.61725 1.05416 1.96770 0.35764 0.66747 1.24014 0.52901 0.85289 0.00097 9.42844 0.63557 0.00368 7.09107 0.58669 0.05815
1.18106 0.92601 1.41252 0.55100 0.02888 2.46064 0.41700 0.53450 0.00979 3.90306 0.39239 0.03163 3.50800 2.51496 0.05273
0.26529 1.05907 1.85612 0.25017 0.10517 2.88364 2.36846 0.71813 0.00015 3.77496 0.07673 0.00094 1.69697 1.60134 0.03549
1.29106 1.06421 1.22250 0.54347 0.49418 1.38303 0.11287 0.75468 0.00147 4.02654 0.79872 0.01305 2.99691 0.74897 0.06345
1.85355 1.08834 1.96763 0.08987 0.49055 0.38119 6.37285 0.96148 0.00753 2.45606 0.03855 0.01783 3.04496 0.38185 0.06782
1.76363 0.93224 1.05066 0.29278 0.53974 1.09357 0.18183 0.52661 0.01875 4.07936 1.36984 0.00351 9.15334 0.68213 0.07562
1.19133 0.99300 0.88555 0.62077 0.47672 1.58181 0.76895 0.66159 0.00218 1.36806 1.02804 0.00144 3.61596 1.09234 0.03367
0.83329 1.04932 1.05144 0.73559 0.56109 1.57314 0.37948 0.71591 0.00223 2.68495 0.64228 0.01835 8.28657 0.72567 0.04278
1.39744 1.04826 1.69115 0.35465 0.12328 0.01801 0.78515 0.68615 0.00782 4.79378 0.07053 0.01432 1.64595 2.19928 0.07582
1.81517 1.01070 1.89127 0.61122 0.74595 1.75666 0.19426 0.93875 0.00023 6.64715 1.59517 0.00870 2.70571 0.59524 0.06034
1.37482 0.93121 1.98795 0.52877 0.63426 0.51612 1.02661 0.97657 0.00814 1.33843 0.57185 0.00324 5.02267 1.36872 0.04046
1.02298 1.00963 1.72431 0.73859 0.79833 0.77002 0.55564 0.87100 0.00051 0.71047 1.97663 0.00365 2.68542 1.00260 0.05222
0.71713 1.06579 1.06191 0.67808 0.39560 1.42252 0.47705 0.62206 0.00364 3.11499 0.02526 0.03344 6.00327 0.16016 0.03458
0.91609 1.07499 1.20738 0.25630 0.04975 1.26889 1.05359 0.56052 0.00071 9.97054 1.89451 0.00856 1.52147 1.79610 0.07913
0.89294 0.97718 1.23642 0.44438 0.33975 0.81104 1.20380 0.56662 0.02108 1.23376 0.66865 0.00825 5.17215 0.76619 0.04885
0.22104 0.91358 1.61776 0.32700 0.45006 1.27992 1.44264 0.96024 0.01263 9.48687 1.92507 0.00220 6.36560 0.51142 0.06155
0.56615 1.09797 1.14623 0.29660 0.42366 0.74537 2.09147 0.90745 0.01102 3.93847 1.95874 0.02522 1.33133 1.07875 0.06602
0.51079 1.05099 1.14327 0.60050 0.60417 1.47059 0.27334 0.83835 0.00137 6.52477 0.01345 0.00616 6.67803 0.69303 0.05306
1.82577 0.91074 1.46146 0.28822 0.03239 1.68333 2.64634 0.17198 0.00955 1.30578 0.15380 0.00137 1.61163 2.42496 0.06553
0.19636 0.96975 1.06729 0.50572 0.51429 1.95569 0.59306 0.60697 0.00332 4.06589 0.22156 0.00313 5.59048 0.29652 0.03673
1.81981 0.93056 1.81628 0.74194 0.31176 2.35128 0.03742 0.30291 0.00428 1.41464 0.28836 0.00409 1.85754 2.30607 0.07815
0.36056 1.08751 0.69361 0.36405 0.44787 4.36877 1.44972 0.54341 0.00044 2.96619 0.83681 0.00430 2.26803 3.21936 0.07002
1.89594 1.09667 0.99776 0.81552 0.25261 2.78138 2.87027 0.29264 0.02543 0.05457 0.93384 0.00577 1.17514 0.48095 0.06080
0.51746 0.94211 1.46352 0.78232 0.56176 5.85775 8.37095 0.05984 0.00662 5.36881 0.91618 0.03139 1.31693 1.20286 0.08849
