Unnamed: 0,UniqueId,Name_x,Type,FailureType,ar,lrr,srr,alr,sdr,smr,Name_y,Location,res_mean,res_median,res_std,res_max,res_min,gamma,kappa,eta1,sig,lam,mup,sigp,rsmax,alpha,alpha1,alpha2,betam1,n,kappa_k,color
279,299,"Petrovski and Ristic 1984, M1E1",Spiral,Flexure,6.221498371335505,0.1134087342445483,0.0151915558654397,0.0504858467109986,2.083333333333333,0.2801831817963103,"Petrovski and Ristic 1984, M1E1",b25cf496-13f1-46ea-8d2a-0b8500e9ab78-007,0.0918782803475852,0.0916819179241515,0.0011740428123326,0.0954539873457787,0.0897366213164365,1.7416788530755645,1.0556095576132547,1.6776787468583845,0.4250603109925297,0.5961088431443599,0.3274617376255517,0.7187061709672284,0.7176565698014173,0.0043693442355667,3.5297351483098725,0.0352802851699624,0.0060393482063107,1.6969706736666994,0.8168558852962394,blue
15,170,"Saatcioglu and Grira 1999, BG-6",Rectangular,Flexure,4.7,0.3221984071085403,0.1786945821343354,0.4561824729891957,1.3333333333333333,0.2733674914912262,"Saatcioglu and Grira 1999, BG-6",9240f870-c171-47a7-a2d3-d6075cfc069a-007,0.0751157698287917,0.0750726347136191,0.0013001423316973,0.0793429657760869,0.0722974145775429,1.1102683063720993,1.0222342483803286,0.8134259818511058,0.5253154354134802,0.4829213437570703,1.4508783875569746,0.8541333297260182,0.7646942978088217,0.0002738183383768,8.692728960527521,1.6704707373612289,0.0038141444904111,1.684562543217889,1.03937486396413,blue
277,108,"Saatcioglu and Ozcebe 1989, U7",Rectangular,Flexure,2.857142857142857,0.3592035556302301,0.092457895035826,0.1255886970172684,1.692708333333333,0.6244439766092185,"Saatcioglu and Ozcebe 1989, U7",2e467baa-d07e-4915-bec0-9dd419212fc9-007,0.0441861089063559,0.0440408786139281,0.0011906408081473,0.0521838497892638,0.0424911315651679,0.325002398607656,0.9411271947152424,1.366393546036097,0.4843499121253895,0.576737764234801,1.772556318643384,0.1358208772358987,0.6434567343892996,0.0002634684842204,6.656053766083088,0.4240866491417138,0.0008133069674398,1.901733067147513,0.7725104146486405,blue
147,314,"BRI No. 2 (Japan), spbaa1",Spiral,Flexure,1.5,0.0888074626415094,0.1333436553996239,0.1414497064037856,0.9363295880149812,0.2674987814728254,"BRI No. 2 (Japan), spbaa1",601d0e7e-d0d7-41b2-bb89-524b243d495a-007,0.0532366400154418,0.053176915663826,0.0006952852707512,0.0555532113291716,0.0519128709957945,0.3055079731014016,1.060155503055662,1.9405856515517024,0.4151604761622542,0.1655609176456281,2.200330407699828,0.8253501865942193,0.8098998340306381,0.0001079314792385,8.645856243374352,1.8965645369680628,0.0011020039785481,1.3810084778183556,0.9364064981036936,blue
290,173,"Saatcioglu and Grira 1999, BG-9",Rectangular,Flexure,4.7,0.4130338227186827,0.0877617316170006,0.4617046818727491,1.91919191919192,0.5235228037703472,"Saatcioglu and Grira 1999, BG-9",1bc9af5a-b102-4c7e-aa1d-faf64d4b0f47-007,0.0406860606539953,0.0406196409985561,0.0006766511661887,0.0429870965194972,0.0390653153989533,1.927292800444803,1.0065128962295733,1.9417510876974715,0.6344885074008134,0.5835090753075673,1.2536983668842256,0.6941991395561706,0.9426826634702296,6.249835032933918e-05,6.515311670608986,0.0453731879559663,0.0021892788230696,2.908018283918551,1.3302867330419843,blue
158,396,"Soderstrom 2001,C2",Spiral,Flexure,4.698090692124105,0.1540837093423177,0.0440149831610284,0.0,0.8912280701754386,0.2172556643312284,"Soderstrom 2001,C2",665e95a4-9313-481e-8035-179b27d87356-007,0.0595254267398651,0.059402388958025,0.0006805934510892,0.0635643521471544,0.0583000176928893,1.1049628678994956,1.081475925921174,0.8948218952593264,0.4275717729989753,0.5760582808259262,1.1112820198651872,0.6044560842434608,0.9466662638147788,0.0001482072492853,8.398611513133988,0.4739218754724624,0.0025042572421185,6.3763486132371066,0.2291969220104831,blue
185,226,"Paultre et al., 2001, No. 1006052",Rectangular,Flexure,6.557377049180328,0.1047048861983049,0.0837958240950657,0.506046270316161,0.8849557522123892,0.2463802441743374,"Paultre et al., 2001, No. 1006052",552ac52a-53c1-4c89-80fc-52bb122e5269-007,0.0861406939183379,0.0853425478487873,0.003630846262131,0.1127042487673623,0.0805323454271312,0.870601881157366,1.0739577274682297,0.64377417558184,0.8639387221332637,0.5875587924260277,2.2466784088159555,0.4005250451459197,0.666112450391735,0.0005660460345555,9.96496506560764,0.3162874073362257,0.0158565875088498,3.408329394681696,2.160905711574433,blue
118,136,"Wehbe et al. 1998, B2",Rectangular,Flexure,3.8278688524590168,0.3547213947733016,0.0546170367251115,0.2324374614267423,2.305555555555556,0.7295960902153189,"Wehbe et al. 1998, B2",872fcf07-e82a-4098-80aa-2c90cc295a54-007,0.0405753223027142,0.0403250854282004,0.0015106674351979,0.0479346911095992,0.0378627370277623,0.67292706196239,1.0976810435686892,0.693508829124409,0.4722514803282178,0.4284135821690202,1.69640933060585,0.7440932535533331,0.6448952046162445,2.846390530842149e-05,4.046781304884949,1.979375906499946,0.0048086878647044,2.059928766145922,0.7404289550440292,blue
217,179,"Matamoros et al. 1999,C10-20N",Rectangular,Flexure,3.004926108374384,0.1683970547377035,0.0718760734945415,0.2108040209848178,1.336842105263158,0.5063099927134541,"Matamoros et al. 1999,C10-20N",b8303912-6e0e-470a-bc71-0f89a7664a0f-007,0.0481897174875026,0.0479765631154991,0.0014623891190728,0.0531089411139416,0.0455077082232977,0.739488490887683,1.0092073810669355,0.8621570595060392,0.9319863781553822,0.7768141666077115,7.979433877834646,0.8288975285615083,0.2924497759248076,0.0421130301676938,0.4363692026475714,0.1443901962354254,0.0302627796482906,4.91984641477275,0.2121723249807716,blue
143,383,"Saatcioglu and Baingo 1999, RC4",Spiral,Flexure,6.58,0.1525532444444444,0.0518292974672236,0.4187543391573424,1.0416666666666667,0.2796412016605888,"Saatcioglu and Baingo 1999, RC4",bd5e4208-db1d-44b3-b574-b4ab3cf615c9-007,0.0671796091722563,0.0671496551317456,0.0015136420406017,0.0714455129977353,0.0634422580670126,1.2588710199332156,0.9140264686670272,1.7128394785715586,0.1307786220513069,0.4094847177409359,0.8135804144677576,1.994988784924984,0.2570855068781659,0.0096770717954817,1.939767049534977,0.42969056601985,0.0002746035879286,1.815175045458695,2.174383556053441,blue
44,96,"Atalay and Penzien 1975, No. 11",Rectangular,Flexure,5.495081967213115,0.1913993624656909,0.0735869484928307,0.277760921014989,1.3333333333333333,0.3153005960815045,"Atalay and Penzien 1975, No. 11",6cb813b7-df06-4211-a8ba-4c5123c15ef4-007,0.0541014549157619,0.0538085765346009,0.0015488332703151,0.0690325697361858,0.0523776552971156,1.2817107863995547,1.0650295306142976,1.7517999270572449,0.6363545004946606,0.3691156896397731,1.0917944114382252,0.2508792558388285,0.6119232947040094,0.0004245174760145,6.909595893710063,1.72004794032079,0.0124019965965424,3.2098247998429006,0.8779300719377738,blue
194,163,"Bayrak and Sheikh 1996, AS-7HT",Rectangular,Flexure,6.039344262295082,0.1143154929601453,0.0631970938082168,0.4500160720025715,1.3864306784660765,0.3246690681481317,"Bayrak and Sheikh 1996, AS-7HT",d602f924-3b22-4eb2-a1b7-27ac1c3f0057-007,0.0574971980506813,0.0571947746938021,0.0033303538836155,0.0728397105472489,0.0511081858677906,1.7003701423743411,1.0192733608306053,1.1423198622925856,0.9458309323761092,0.2561074005280095,1.3654151049988117,0.3640633209409257,0.7970219235749337,0.0004062309870765,9.399978094283735,1.9709816191807543,0.0144856659090447,4.459218075777915,4.295641484964331,blue
254,104,"Saatcioglu and Ozcebe 1989, U1",Rectangular,Flexure,2.857142857142857,0.3161591558330862,0.0322531355873133,0.0,2.5,1.0323673510773903,"Saatcioglu and Ozcebe 1989, U1",20861a22-910b-4b4e-93fb-053beca13ac4-007,0.0792185983715079,0.0792603229459868,0.0019969841315243,0.0866947173236245,0.0738247906053701,1.8567642310093864,0.9889834207263378,1.339218361547334,0.1978358481005281,0.3050021222527564,0.1281786477067991,0.0956288710346046,0.4487911453987555,0.0020103204977531,1.5261914192728794,1.060235457573842,0.0479634041670787,4.909854402909522,0.2628402841067063,blue
69,18,"Tanaka and Park 1990, No. 1",Rectangular,Flexure,4.0,0.2908427573831176,0.137920212638798,0.199951171875,1.1111111111111112,0.3201972645977145,"Tanaka and Park 1990, No. 1",3b634a9f-cebb-451a-9f3e-f0c1cbb8d9ac-007,0.0538065847267708,0.0536202995583402,0.0012453298492678,0.0577955778912847,0.0514346232369777,1.8329603435335189,0.9765637575323872,1.830487065090038,0.4566540350329244,0.5702863375811879,1.0689597484341753,1.1707000282337114,0.976817427223766,0.0012651878383512,4.527361089235471,1.083174969866276,0.0031118969576123,9.324517381660325,0.4639196696885813,blue
163,7,"Soesianawati et al. 1986, No. 1",Rectangular,Flexure,4.0,0.1446348721033339,0.0354417751862286,0.1,2.023809523809524,0.4865796836601485,"Soesianawati et al. 1986, No. 1",11329922-d141-4bc1-b4e2-f361d2345e10-007,0.0539918297585039,0.0536350418220054,0.0015081967221114,0.0589203689934941,0.0515382737992145,1.7688167020772434,0.995737941345218,1.7977645041792711,0.442096885565771,0.5146100595559004,0.6844224299917118,1.3252680204541478,0.9568046398437888,0.0010751352753929,3.0652614045846414,1.1646619573330317,0.0044738341993604,6.219260081798669,0.4235141327837765,blue
197,175,"Matamoros et al. 1999,C10-05N",Rectangular,Flexure,3.004926108374384,0.1622985079540362,0.0535658231327001,0.0495093276968009,1.336842105263158,0.45659162347404,"Matamoros et al. 1999,C10-05N",8ac85901-7a7b-40db-b24d-d6c70e0335d1-007,0.0275746648863393,0.027497305535799,0.0008730644415464,0.0307394754493684,0.0251324156173646,1.2514438877834977,0.9599243463034968,0.7705150909310932,0.4188872744128127,0.3702640084755603,1.4359562903365888,0.7106034399629366,0.6135813667314078,0.0027312882554253,6.004960047747622,0.0738070254178978,0.0105119261953176,9.223829243171116,0.1161402775292292,blue
271,201,"Thomsen and Wallace 1994, A1",Rectangular,Flexure,3.916666666666666,0.1229309503617101,0.048127705028581,0.0,1.3229166666666663,0.2754795386188717,"Thomsen and Wallace 1994, A1",e4b9bd16-c8b9-437d-916a-0f323b3dfe66-007,0.0609581545938005,0.0608981557940977,0.00078136926401,0.0642797606136395,0.0590836757132152,1.5221517947752647,1.001849464071226,1.7350037718594742,0.3681767055742326,0.4759202967239614,0.5094781864881862,0.3615972628627995,0.937303602699334,0.0186351115603431,8.780485172926015,0.2877733529778022,0.0033148691615211,4.719083496418163,0.2946728294795478,blue
