% eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
1.08194	1.69077	0.99881	0.34402	0.46976	0.71628	1.54736	0.55024	1.71822	0.00819	7.86428	1.35663	0.00774	1.32245
1.00354	0.57434	0.97424	0.40131	0.15050	1.29179	1.32094	0.95334	8.32970	0.00310	6.85823	1.74851	0.02097	0.74309
1.22145	2.49962	0.99306	0.48037	0.46236	2.89694	2.55583	0.71368	2.98570	0.00054	0.68378	2.00000	0.03148	0.89810
0.69529	0.62620	1.01039	0.56335	0.21447	1.07084	1.86367	0.95119	7.21617	0.00534	7.32494	0.08153	0.01291	1.29274
1.46246	2.04880	0.96423	0.41657	0.40390	1.85700	1.45716	0.34796	1.46246	0.01419	6.42577	0.28158	0.00458	1.72841
1.65699	1.34359	1.03388	0.28292	0.58625	1.32892	0.82704	0.24756	1.52583	0.02214	2.52708	1.38027	0.01034	1.46752
1.02208	0.62941	0.98042	0.66780	0.28812	0.23308	1.83321	0.61947	2.69744	0.00254	0.76698	0.44164	0.00888	0.23578
0.67040	0.70299	0.95545	0.32397	0.23517	0.40712	2.13620	0.72663	1.97769	0.02552	6.06534	1.00022	0.00903	1.28674
2.00000	0.87637	1.05000	0.13777	0.15088	1.00336	3.23672	0.93207	2.37222	0.00000	2.81161	0.01194	0.00874	0.21892
2.00000	0.50000	0.95000	0.20603	0.15383	1.89386	2.88821	1.00000	5.74649	0.00000	2.75160	0.01000	0.01450	0.45013
1.09179	0.72926	1.01417	0.41342	0.73314	2.64693	3.96328	0.83394	1.03393	0.01092	7.29368	0.28210	0.00619	0.52226
1.52362	2.39703	0.97564	0.72810	0.27730	0.19184	1.33747	0.97227	1.20676	0.01591	3.70802	0.76049	0.01272	1.89210
1.59104	1.12032	1.00973	0.30118	0.08591	2.73228	3.61190	0.97361	2.94121	0.00040	1.84496	1.26801	0.01414	0.73753
1.17575	1.46779	0.99262	0.20988	0.41994	1.61504	1.30267	0.68228	6.15344	0.00679	4.99507	0.11549	0.03171	0.16951
1.28123	2.28021	0.95689	0.13376	0.14010	0.37993	4.31673	0.96188	4.98881	0.00127	3.13625	0.15782	0.00969	0.22368
1.65368	1.33481	0.97519	0.18567	0.58545	1.43421	2.01886	0.75540	3.60778	0.00452	3.55280	1.05490	0.00568	0.72031
1.28170	6.26941	0.99338	0.17668	0.35705	4.31808	2.38309	0.80498	1.23776	0.00122	5.66747	0.14648	0.00873	0.17941
1.73438	2.05812	1.04987	0.41628	0.48054	0.63651	0.26492	0.37501	2.10749	0.00308	4.62182	0.70549	0.02183	1.49520
1.02172	0.63314	1.01520	0.90140	0.91754	1.21111	0.16169	0.95540	8.00569	0.01311	3.61573	0.79713	0.00785	1.01368
0.77432	2.76236	1.04951	0.36755	0.43631	1.18137	2.17713	0.76322	6.03519	0.01037	8.56566	0.26945	0.00084	0.66648
0.70753	1.83827	1.04988	0.20474	0.38323	3.12335	2.09724	0.55761	5.62424	0.00146	6.39497	0.32076	0.00310	0.38359
0.51975	1.07314	1.00621	0.37353	0.34198	0.33444	0.67944	0.98344	2.98756	0.00098	7.66198	0.65785	0.00084	0.33850
0.87932	1.43248	1.05000	0.40596	0.37356	0.34526	0.59728	0.79928	6.70992	0.00000	2.86819	0.01273	0.00126	0.61139
0.73333	0.62236	1.01398	0.39267	0.54362	0.63062	0.56495	0.66324	1.74951	0.02299	9.69593	0.37833	0.00411	0.84929
1.17310	0.68120	0.99600	0.90420	0.62706	1.16231	0.42091	0.85077	8.18975	0.01455	4.95304	1.48994	0.01764	0.88950
1.79258	1.09779	0.99254	0.25278	0.19446	1.59515	2.05827	0.94752	6.40599	0.00054	3.59687	1.58404	0.01101	0.25738
0.80119	1.98620	1.00016	0.27547	0.32943	2.66803	1.74702	0.71490	1.01379	0.00232	9.87744	0.02395	0.00069	0.19034
1.59586	0.72225	0.99986	0.15986	0.19936	3.47492	1.47987	0.69793	2.67985	0.01032	4.22914	0.01744	0.02778	0.16912
0.92163	0.97362	1.03646	0.61226	0.51646	0.66910	1.56134	0.90220	5.37779	0.00764	1.60808	0.29290	0.03293	1.66042
1.73988	2.41933	1.01505	0.37420	0.53129	3.61761	1.61125	0.69918	1.33992	0.00895	4.72326	1.44757	0.00317	0.66058
1.16699	0.87580	1.03890	0.08335	0.10838	1.66080	2.59058	0.93483	3.48966	0.00093	9.54867	0.52343	0.01042	0.17610
2.00000	0.69945	0.97175	0.26095	0.95000	2.60853	2.52634	0.01000	1.98631	0.00000	9.11083	0.01000	0.01672	0.56590
1.07819	0.57783	1.00915	0.17093	0.32038	2.28242	0.75427	0.59570	2.48676	0.01089	5.01731	0.63760	0.02976	0.11716
0.84185	0.88174	1.01390	0.26819	0.49213	1.43108	0.67263	0.69246	4.45147	0.00199	6.55859	1.03127	0.00185	0.37287
1.17767	0.56801	1.02964	0.31776	0.55495	1.67432	3.47182	0.82912	1.38398	0.01426	1.90303	0.23365	0.00202	1.05106
1.83675	0.69567	0.99959	0.30720	0.40429	0.51561	0.14052	0.96166	4.49882	0.02101	5.97100	0.40456	0.01229	0.20904
0.96708	0.63638	1.00045	0.04053	0.33272	1.17545	1.82530	0.71843	1.18204	0.02539	5.88841	0.33315	0.02643	0.87612
2.00000	1.57994	1.05000	0.30705	0.40241	1.23886	0.82647	0.59658	1.84981	0.00006	2.08195	1.06596	0.00067	0.26100
0.72200	0.50000	1.05000	0.17970	0.07450	0.58626	4.03744	1.00000	2.23605	0.00000	1.86041	0.01000	0.01761	0.48251
1.61729	0.55193	1.01799	0.14242	0.64931	1.03921	0.49461	0.53281	3.29963	0.01704	4.29193	0.70006	0.00645	1.47899
1.78366	3.55289	1.03204	0.80924	0.82981	3.47885	3.67774	0.93825	2.16281	0.00322	0.91388	1.14533	0.02064	0.87539
0.72136	1.17431	1.03695	0.17766	0.18836	4.63751	2.93550	0.86703	1.36916	0.00000	3.08719	1.16782	0.04977	0.23369
1.26734	2.67818	1.04474	0.38976	0.32560	0.38657	0.51746	0.99330	6.53593	0.00238	9.96606	0.33619	0.02018	0.20636
0.91452	0.67043	0.99296	0.51537	0.93900	2.11771	0.92248	0.47999	1.89511	0.01941	4.71286	0.79098	0.00728	0.22546
1.30523	0.95473	0.98920	0.18234	0.35953	0.63814	1.33299	0.76257	5.20905	0.00261	4.28267	0.95493	0.00487	0.34663
1.08979	0.52590	0.98178	0.29439	0.78261	1.79490	0.71994	0.79862	2.49608	0.04651	4.21888	0.69605	0.01228	1.23526
1.15648	0.51341	0.99506	0.27882	0.32927	1.08435	0.59583	0.48159	3.36405	0.02342	6.07658	1.03942	0.01491	0.99104
1.94263	1.30299	1.01956	0.31496	0.82530	1.27787	1.96792	0.43897	1.85207	0.02663	1.90859	0.22442	0.00676	0.44749
0.98212	0.50770	1.01406	0.48082	0.53537	2.58153	2.87524	0.88748	4.12170	0.00065	0.62328	0.79399	0.04405	1.98429
1.14893	1.78030	1.02091	0.34871	0.51805	1.49013	2.72328	0.94899	2.62291	0.00271	4.64433	0.04974	0.00216	1.72976
1.95959	1.09013	0.95000	0.02000	0.27265	3.14738	4.63012	1.00000	9.20609	0.02443	9.31478	0.29575	0.05000	0.37499
1.54673	0.51075	1.03434	0.27425	0.24538	0.61857	1.45343	0.97845	3.97266	0.00957	7.12384	0.01279	0.00380	1.36481
2.00000	0.50000	0.95925	0.21335	0.35039	3.57828	2.55030	1.00000	3.36542	0.00000	5.16281	0.17918	0.00044	0.19906
1.51819	1.49418	1.03124	0.27646	0.20430	3.99034	1.96031	0.69381	4.82702	0.00302	1.44360	0.68662	0.01810	0.25811
