UniqueId,Name,Location,res_mean,res_median,res_std,res_max,res_min,gamma,kappa,eta1,sig,lam,mup,sigp,rsmax,alpha,alpha1,alpha2,betam1,n,kappa_k
64,"Ono et al. 1989, CA025C",81828011-5b4b-4138-be69-3a1c47544fdf-007,0.0564686189029695,0.0563083387824895,0.0009485132553504,0.0631779613063189,0.0548991183197096,1.967599538650469,1.0725733477575308,1.5281784511402854,0.2161274874942393,0.1974182972085344,6.70227981592896,5.041588411381579,0.9917954680844564,0.0006171679309176,0.3640055371447042,0.2052046329469347,0.0203765866646376,4.337753202345643,0.2490563445569302
352,"Kunnath et al. 1997, A8",97dd05ce-a541-46a1-a5d2-5d5bf654cb6f-007,0.0641160249917322,0.0640543591482219,0.0003957591325076,0.0664604173070987,0.0634464720638237,0.3498035687455252,0.9005168529402215,1.9931703294547576,0.3576878968729804,0.8408117761966846,4.203174556104926,5.221883628202314,0.957629921987318,0.0049863317150485,2.3817443223515125,0.3276170105946779,0.0006863505335031,2.6619151348340946,2.9376887951115944
379,"Sritharan et al. 1995, IC3",a815a3bf-1b81-4ae7-89dd-10555c1e48b0-007,0.0861659549612004,0.0860947946439885,0.0018475856998664,0.0928745327921528,0.080608288318141,0.2929189940752666,1.001421453205188,1.9009421426781128,0.4003821836982193,0.5093177755120604,2.958336010863743,1.7219873563881876,0.9946177449063712,0.0002538907831292,6.175634971926372,0.825094041628203,0.0001443394251941,1.270287659199453,4.382526706913601
374,"Calderone et al. 2000, 328",f9585614-d99f-4ffe-8606-959791148bc5-007,0.0692482372061312,0.069532604326141,0.0026508752907912,0.0763625393057812,0.061858126027473,1.3476814223033733,1.0657197311585198,0.8632700264278816,0.2805113030647888,0.615313115585814,1.3443926188317616,0.478505130218067,0.6582483740067406,0.0103870456224332,3.755908253409658,0.2649800234952854,0.0055462305369826,3.553621047237985,0.3366789436143533
309,"NIST, Model N2",042badac-3f82-492d-9b57-ed6589371140-007,0.1083752166396413,0.108311319675832,0.0029317934117371,0.1181002894069358,0.1013737530237329,1.4328123734668743,1.0980828761954546,1.252482734723854,0.4086050765394243,0.2427120893981273,0.9919502159688816,0.4960902973226269,0.6624669397484292,5.101116018187439e-05,5.461077499671149,1.8027294362377253,0.0132410553966885,1.4126916898616173,0.5068565093600534
196,"Aboutaha and Machado 1999, ORC1",043f4941-b87b-4d29-8781-72e8ce688bf6-007,0.2254706756090171,0.225470675609017,2.775557561562892e-17,0.225470675609017,0.225470675609017,0.3784400707522639,0.9723721102524766,1.334075075651877,0.3926261020546952,0.4811520007660427,3.9324575075237975,2.8471320607818846,0.5456884608037421,0.0174052240057179,3.3189776632018013,0.3090973420085885,0.0468464121512814,7.53152570376772,1.981551093489744
190,"Mo and Wang 2000,C2-1",072c5120-3138-450b-ac08-ecdd34a2b143-007,0.0466781411001597,0.0466669257563508,0.0004040869472652,0.0483555804856967,0.0455974512655533,1.597291979582751,1.035435657942509,0.6126177589725437,0.4992892905585146,0.590029455833899,0.995342043433698,0.5349385911511488,0.7901845546888454,0.0002488820812729,9.584728545858896,0.0709339798823882,0.0076182142552417,8.035101484483963,0.2719939481135611
125,"Galeota et al. 1996, BB",08c9077a-7b4e-451b-ab5d-252ebd59b243-007,0.0601061601570755,0.0599877229553715,0.0029231896083022,0.0713489637465637,0.052142660154895,1.3471982457279743,1.045370962077188,1.000342127040838,0.4398901651914558,0.7994778655060476,0.633506846620973,0.7200335371571328,0.9331899807389996,0.0062330905013842,2.03475509492584,1.753198230879878,0.0103143964436696,8.882645003760668,0.5754881169625077
217,"Paultre and Legeron, 2000, No. 1006040",0c290e62-8ab2-4222-80da-54bb202e3edf-007,0.1023649623810759,0.1021219920383312,0.0025018008216823,0.1134022890510946,0.0963766487442356,0.8413353046563937,1.0859002696134796,0.5624870924240504,0.790662814887359,0.4646941931927796,1.6059299409732524,0.6806955565862841,0.7608087759787139,0.0004954107276437,8.809361282669808,0.7496977208084705,0.0164977330359167,3.896981196138541,1.4519990276634738
15,"Watson and Park 1989, No. 7",20da9607-d3f1-49a2-bcca-ac0ce4d50a25-007,0.1052328895038819,0.1049716646321494,0.0030864364333459,0.1187305943043337,0.0981328516445603,1.830254805567738,0.9523725316655554,1.7636521650936638,0.6200329081790961,0.5638148879405741,2.9887844351997064,0.7198460785279284,0.0799893176640589,0.0044941525940466,0.9947257897126842,0.3162313237526803,0.0075090394901303,1.181590947855414,2.5189896224842694
