Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, eta_1, kappa_k, kappa, sig, lam, mup, sigp, rsmax, n, alpha, alpha1, alpha2, betam1, gamma, eta_1.median, kappa_k.median, kappa.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, n.median, alpha.median, alpha1.median, alpha2.median, betam1.median, gamma.median, eta_1.q5, kappa_k.q5, kappa.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, n.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, gamma.q5, eta_1.q95, kappa_k.q95, kappa.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, n.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, gamma.q95, eta_1.var, kappa_k.var, kappa.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, n.var, alpha.var, alpha1.var, alpha2.var, betam1.var, gamma.var, eta_1.q5_w_mnoise, kappa_k.q5_w_mnoise, kappa.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, n.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, gamma.q5_w_mnoise, eta_1.q95_w_mnoise, kappa_k.q95_w_mnoise, kappa.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, n.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, gamma.q95_w_mnoise, eta_1.var_w_mnoise, kappa_k.var_w_mnoise, kappa.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, n.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, gamma.var_w_mnoise
1, 0.13333, 0.72522, 0.08344, 0.2412, 1.0091, 0.21516, 2, 0.69945, 0.97175, 0.26095, 0.95, 2.6085, 2.5263, 0.01, 1.9863, 0, 9.1108, 0.01, 0.01672, 0.5659, 1.825, 1.9978, 1.001, 0.2719, 0.59652, 1.4774, 1.3954, 0.64249, 3.1282, 0.010031, 6.8698, 0.71019, 0.0069543, 0.92623, 1.3947, -0.3109, 0.97328, 0.078451, 0.34694, 0.45533, 0.60628, 0.43083, 1.7637, 0.004305, 4.2373, 0.051878, 0.0043497, 0.14748, 2.2552, 4.3065, 1.0287, 0.46535, 0.8461, 2.4995, 2.1845, 0.85416, 4.4928, 0.015757, 9.5023, 1.3685, 0.0095589, 1.705, 0.068418, 1.97, 0.00028342, 0.013832, 0.023024, 0.38612, 0.23016, 0.01656, 0.68821, 1.212e-05, 2.5614, 0.16018, 2.5075e-06, 0.22415, 1.1375, -0.55484, 0.95943, -0.05558, 0.28943, -0.24127, -0.27835, 0.32599, -0.11835, -0.005221, 2.8821, -0.13716, -0.0013867, 0.02803, 2.5125, 4.5504, 1.0425, 0.59938, 0.90361, 3.1961, 3.0692, 0.95899, 6.3748, 0.025284, 10.857, 1.5575, 0.015295, 1.8244, 0.1747, 2.4083, 0.00063761, 0.039639, 0.034855, 1.0918, 1.0355, 0.037025, 3.8958, 8.5983e-05, 5.8773, 0.26538, 2.5715e-05, 0.29819
2, 0.25, 0.44611, 0.01397, 0.07227, 1.2075, 0.32794, 1.7708, 1.0001, 1.0225, 0.17347, 0.45172, 1.1805, 0.47141, 0.41766, 3.641, 0.0082, 5.9364, 1.8585, 0.00745, 0.40369, 1.6153, 1.2883, 1.0166, 0.2766, 0.52801, 1.4751, 1.3063, 0.69289, 3.375, 0.0087959, 3.791, 0.70809, 0.0056832, 0.46819, 1.4148, 0.79499, 0.99224, 0.19608, 0.27631, 0.45265, 0.57969, 0.44662, 2.0937, 0.0035517, 2.1036, 0.049806, 0.0033781, 0.20658, 1.8157, 1.7817, 1.0409, 0.35712, 0.77971, 2.4975, 2.0329, 0.93916, 4.6563, 0.01404, 5.4783, 1.3664, 0.0079883, 0.72979, 0.014846, 0.089961, 0.00021885, 0.0023961, 0.023416, 0.38636, 0.19514, 0.022417, 0.60678, 1.0165e-05, 1.0523, 0.16017, 1.9639e-06, 0.025295, 1.0428, 0.092826, 0.9772, 0.0003683, 0.2192, -0.24381, -0.3389, 0.35227, 0.16252, -0.006282, 0.35322, -0.13924, -0.0025691, -0.050219, 2.1877, 2.4839, 1.0559, 0.55283, 0.83682, 3.1939, 2.9515, 1.0335, 6.5875, 0.023874, 7.2288, 1.5554, 0.013936, 0.9866, 0.12113, 0.52827, 0.00057304, 0.028203, 0.035247, 1.092, 1.0004, 0.042882, 3.8144, 8.4029e-05, 4.3682, 0.26537, 2.5171e-05, 0.099332
3, 0.5, 0.24182, 0.04249, 0.36837, 1.7454, 0.39848, 1.602, 0.90486, 1.0198, 0.53467, 0.46747, 0.12393, 0.72363, 0.90639, 1.6141, 0.0296, 1.6935, 1.3357, 0.01857, 1.1796, 1.1936, 0.95094, 1.0005, 0.42711, 0.49489, 1.4319, 1.3714, 0.70262, 3.156, 0.011582, 3.2359, 0.71019, 0.0060399, 1.1611, 0.95802, 0.12774, 0.97291, 0.34125, 0.25747, 0.4598, 0.58575, 0.43221, 1.9284, 0.0067313, 0.87195, 0.051878, 0.0032928, 0.70219, 1.4291, 1.7741, 1.0281, 0.51298, 0.73231, 2.404, 2.1571, 0.97303, 4.3835, 0.016432, 5.5999, 1.3685, 0.0087871, 1.62, 0.020504, 0.25047, 0.00028124, 0.0027251, 0.020834, 0.34929, 0.22814, 0.027026, 0.55695, 8.6961e-06, 2.0656, 0.16018, 2.7894e-06, 0.07784, 0.60787, -0.41417, 0.95903, 0.14928, 0.19761, -0.25753, -0.30071, 0.34416, -0.035482, -0.0033637, -0.57976, -0.13716, -0.0023467, 0.52008, 1.7792, 2.3161, 1.042, 0.70495, 0.79218, 3.1214, 3.0435, 1.0611, 6.3474, 0.026527, 7.0517, 1.5575, 0.014427, 1.8021, 0.12678, 0.68878, 0.00063543, 0.028532, 0.032666, 1.0549, 1.0334, 0.047491, 3.7646, 8.256e-05, 5.3814, 0.26538, 2.5997e-05, 0.15188
4, 0.21285, 0.16327, 0.05248, 0.1029, 1.1811, 0.24521, 1.1731, 0.6812, 0.996, 0.9042, 0.62706, 1.1623, 0.42091, 0.85077, 8.1898, 0.01455, 4.953, 1.4899, 0.01764, 0.8895, 1.1795, 1.1943, 0.99774, 0.38755, 0.39566, 1.9175, 2.1458, 0.70009, 3.9892, 0.0089232, 4.6812, 0.40576, 0.0059554, 0.51614, 1.0283, 0.20855, 0.97888, 0.32005, 0.28146, 1.2129, 1.5299, 0.55616, 2.99, 0.0036158, 2.9893, -0.0087233, 0.0037267, 0.12809, 1.3308, 2.1801, 1.0166, 0.45505, 0.50985, 2.6221, 2.7617, 0.84403, 4.9885, 0.014231, 6.3732, 0.82025, 0.0081841, 0.9042, 0.0084545, 0.35916, 0.00013157, 0.001684, 0.0048199, 0.18349, 0.1402, 0.0076573, 0.36904, 1.0411e-05, 1.0581, 0.063499, 1.8359e-06, 0.055659, 0.62239, -0.27457, 0.96149, 0.11483, 0.18341, 0.36647, 0.5464, 0.42425, 0.87847, -0.0061768, 1.2412, -0.26983, -0.0022759, -0.07622, 1.7367, 2.6632, 1.034, 0.66027, 0.60791, 3.4685, 3.7452, 0.97593, 7.1, 0.024023, 8.1213, 1.0814, 0.014187, 1.1085, 0.11473, 0.79747, 0.00048575, 0.027491, 0.016651, 0.88916, 0.94549, 0.028122, 3.5767, 8.4275e-05, 4.3739, 0.1687, 2.5043e-05, 0.1297
5, 0.25, 0.11153, 0.01397, 0.07227, 1.2075, 0.13854, 0.88219, 0.54168, 0.95934, 0.48824, 0.61064, 0.14553, 0.1752, 0.71537, 3.1765, 0.00807, 6.5749, 1.3491, 0.00429, 0.19942, 1.0945, 1.0926, 1.001, 0.38876, 0.5654, 1.4751, 1.4886, 0.74573, 4.3305, 0.0076749, 5.689, 0.74604, 0.0059506, 0.49421, 0.86975, 0.37877, 0.97332, 0.28686, 0.33511, 0.45266, 0.70973, 0.57757, 3.1182, 0.0027713, 3.9321, 0.17097, 0.0036455, 0.26629, 1.3192, 1.8064, 1.0287, 0.49066, 0.79569, 2.4975, 2.2675, 0.91388, 5.5429, 0.012578, 7.4459, 1.3211, 0.0082558, 0.72213, 0.018662, 0.18834, 0.00028342, 0.003838, 0.019602, 0.38636, 0.22422, 0.010451, 0.54325, 8.8873e-06, 1.1409, 0.12223, 1.9639e-06, 0.019201, 0.51305, -0.20948, 0.95948, 0.10556, 0.27378, -0.24381, -0.18035, 0.45651, 1.1449, -0.007288, 2.2165, -0.038396, -0.0023017, -0.0080437, 1.6759, 2.3947, 1.0425, 0.67197, 0.85702, 3.1939, 3.1575, 1.0349, 7.5161, 0.022638, 9.1615, 1.5305, 0.014203, 0.99646, 0.12494, 0.62665, 0.0006376, 0.029645, 0.031434, 1.092, 1.0295, 0.030917, 3.7509, 8.2751e-05, 4.4568, 0.22744, 2.5171e-05, 0.093237
6, 0.33333, 0.35826, 0.01619, 0.10019, 2.0667, 0.2259, 1.9601, 0.62153, 0.95202, 0.2604, 0.48465, 0.96471, 0.8061, 0.34672, 5.7162, 0.00036, 2.6063, 0.18524, 0.00454, 0.72372, 1.3343, 1.3095, 0.9976, 0.24742, 0.61251, 1.4751, 1.2903, 0.58731, 2.9317, 0.008512, 4.1063, 0.49102, 0.0066842, 0.40376, 1.1709, 0.77922, 0.97169, 0.17523, 0.46066, 0.45266, 0.63102, 0.44555, 1.9945, 0.0040802, 3.2017, 0.16371, 0.0044758, 0.20269, 1.4978, 1.8399, 1.0235, 0.3196, 0.76435, 2.4975, 1.9496, 0.72907, 3.8689, 0.012944, 5.0109, 0.81833, 0.0088927, 0.60483, 0.0098776, 0.10395, 0.00024821, 0.0019261, 0.008522, 0.38636, 0.16066, 0.0074275, 0.32463, 7.2595e-06, 0.30243, 0.039598, 1.8026e-06, 0.014943, 0.77373, 0.098301, 0.95723, -0.026505, 0.37784, -0.24381, -0.32628, 0.3126, -0.1597, -0.006303, 0.97751, -0.13489, -0.0015416, -0.086889, 1.8949, 2.5208, 1.038, 0.52134, 0.84717, 3.1939, 2.9069, 0.86202, 6.0231, 0.023327, 7.2351, 1.1169, 0.01491, 0.89441, 0.11616, 0.54226, 0.0006024, 0.027733, 0.020353, 1.092, 0.96595, 0.027893, 3.5323, 8.1123e-05, 3.6183, 0.1448, 2.501e-05, 0.088979
7, 0.2223, 0.27827, 0.01592, 0.09264, 1.2632, 0.25017, 1.7833, 1.51, 0.98683, 0.23845, 0.64875, 0.38755, 3.4343, 0.80354, 2.3062, 0.0207, 3.2425, 0.15828, 0.00624, 0.72275, 1.3619, 1.2259, 1.0031, 0.32955, 0.76566, 1.3528, 2.1505, 0.75671, 3.1745, 0.013988, 4.5689, 0.27329, 0.0056455, 0.79312, 1.2551, 0.82014, 0.98517, 0.27997, 0.6888, 0.64523, 1.704, 0.66663, 2.4438, 0.0099975, 3.8564, 0.068608, 0.0033001, 0.62676, 1.4686, 1.6317, 1.0211, 0.37912, 0.84251, 2.0604, 2.5969, 0.84679, 3.9053, 0.017978, 5.2815, 0.47797, 0.007991, 0.95949, 0.0042148, 0.060861, 0.00011923, 0.00090829, 0.0021831, 0.18505, 0.073665, 0.0029992, 0.19737, 5.8851e-06, 0.18766, 0.015484, 2.0333e-06, 0.01023, 0.8151, 0.063803, 0.96734, 0.0607, 0.57094, -0.19957, 0.60838, 0.50475, 0.13931, -0.00070118, 1.4902, -0.29814, -0.0026182, 0.31564, 1.9086, 2.388, 1.0389, 0.59839, 0.96038, 2.9052, 3.6926, 1.0087, 6.2097, 0.028677, 7.6477, 0.84471, 0.013909, 1.2706, 0.11049, 0.49917, 0.00047341, 0.026715, 0.014014, 0.89072, 0.87895, 0.023464, 3.405, 7.9749e-05, 3.5035, 0.12069, 2.524e-05, 0.084266
8, 0.61111, 0.50326, 0.04588, 0.12354, 1.0286, 0.60695, 0.96824, 0.7577, 0.97548, 0.33344, 0.43858, 1.1762, 2.4563, 0.91432, 3.3203, 0.01111, 2.8384, 0.29855, 0.00262, 0.46836, 0.85574, 1.1331, 1.001, 0.40675, 0.4706, 1.4751, 1.3973, 0.86019, 4.1209, 0.0088112, 4.0236, 0.70592, 0.0056635, 0.56084, 0.53967, 0.079209, 0.97328, 0.29052, 0.2471, 0.45266, 0.60513, 0.68001, 2.8689, 0.0034667, 2.2073, 0.051252, 0.0030645, 0.021822, 1.1718, 2.1869, 1.0287, 0.52297, 0.6941, 2.4975, 2.1895, 1.0404, 5.373, 0.014156, 5.8399, 1.3606, 0.0082626, 1.0999, 0.036924, 0.41048, 0.00028342, 0.0049928, 0.018462, 0.38636, 0.23194, 0.012, 0.57941, 1.0557e-05, 1.2193, 0.15841, 2.4968e-06, 0.10739, 0.23329, -0.38235, 0.95944, 0.11808, 0.18431, -0.24381, -0.2779, 0.56382, 0.92001, -0.0063019, 0.52074, -0.13861, -0.0026757, -0.13977, 1.4782, 2.6485, 1.0425, 0.69542, 0.75689, 3.1939, 3.0725, 1.1566, 7.3219, 0.023924, 7.5265, 1.5504, 0.014003, 1.2615, 0.1432, 0.8488, 0.00063761, 0.030799, 0.030294, 1.092, 1.0372, 0.032465, 3.7871, 8.4421e-05, 4.5352, 0.26361, 2.5704e-05, 0.18143
9, 0.45833, 0.48346, 0.04497, 0.11868, 0.48, 0.75422, 0.87932, 1.4325, 1.05, 0.40596, 0.37356, 0.34526, 0.59728, 0.79928, 6.7099, 0, 2.8682, 0.01273, 0.00126, 0.61139, 1.1742, 0.77022, 1.003, 0.53318, 0.6358, 1.4751, 1.2386, 0.84893, 3.7709, 0.010462, 3.8749, 0.76267, 0.0057369, 0.98462, 0.93113, -0.23247, 0.97596, 0.39583, 0.42521, 0.45266, 0.48337, 0.67094, 2.5136, 0.0051487, 2.1747, 0.34818, 0.0031681, 0.45967, 1.4173, 1.7729, 1.0301, 0.67053, 0.84639, 2.4975, 1.9937, 1.0269, 5.0281, 0.015776, 5.5751, 1.1772, 0.0083057, 1.5096, 0.021839, 0.3716, 0.00027033, 0.0069728, 0.016391, 0.38636, 0.21079, 0.01171, 0.58425, 1.0435e-05, 1.0685, 0.063499, 2.4389e-06, 0.10186, 0.58546, -0.71007, 0.9619, 0.23538, 0.35947, -0.24381, -0.41947, 0.55389, 0.5679, -0.00464, 0.43078, 0.08707, -0.002593, 0.29478, 1.763, 2.2505, 1.0441, 0.83099, 0.91213, 3.1939, 2.8966, 1.144, 6.9739, 0.025564, 7.319, 1.4383, 0.014067, 1.6745, 0.12812, 0.80991, 0.00062452, 0.032779, 0.028222, 1.092, 1.0161, 0.032175, 3.7919, 8.4299e-05, 4.3843, 0.1687, 2.5646e-05, 0.17589
10, 0.15198, 0.21123, 0.13895, 0.31341, 1.356, 0.16402, 1.876, 0.84286, 1.0105, 0.38127, 0.6269, 1.3521, 0.43455, 0.46173, 2.1319, 0.00537, 1.3671, 0.52485, 0.00254, 1.9136, 1.3685, 1.1153, 1.0113, 0.39004, 0.5194, 1.4751, 1.3147, 0.57765, 2.9129, 0.010619, 6.7804, 0.48793, 0.005581, 1.389, 1.1836, 0.48726, 0.99078, 0.31354, 0.36508, 0.45266, 0.5461, 0.39222, 1.7358, 0.0060491, 4.774, -0.036211, 0.003008, 1.0761, 1.5533, 1.7434, 1.0319, 0.46655, 0.67373, 2.4975, 2.0833, 0.76308, 4.0901, 0.015189, 8.7868, 1.0121, 0.008154, 1.7019, 0.012625, 0.1458, 0.00015598, 0.0021634, 0.0088026, 0.38636, 0.21834, 0.012709, 0.51216, 7.7188e-06, 1.4879, 0.10154, 2.447e-06, 0.036191, 0.80127, -0.14179, 0.97417, 0.11495, 0.28313, -0.24381, -0.34949, 0.27806, -0.25948, -0.0042379, 3.1753, -0.25997, -0.0027502, 0.84292, 1.9356, 2.3724, 1.0485, 0.66513, 0.75568, 3.1939, 2.9789, 0.87724, 6.0853, 0.025476, 10.385, 1.2358, 0.013912, 1.9351, 0.1189, 0.58411, 0.00051017, 0.02797, 0.020634, 1.092, 1.0236, 0.033174, 3.7198, 8.1583e-05, 4.8037, 0.20674, 2.5654e-05, 0.11023
