eta1,kappa_k,kappa,sig,lam,mup,sigp,rsmax,n,alpha,alpha1,alpha2,betam1,gamma,name,PeakDrift,FailureType,ar,lrr,srr,alr,sdr,smr
0.79306667590862,0.6220893701886103,1.0358896114057317,0.20199175266367292,0.19839456633861507,2.3710153202222384,1.81192965668797,0.6975503263834639,1.817540299385001,0.012093854579219285,3.6577644115946524,1.3233504672518612,0.020498785749513467,0.1799535410754739,"Ang et al. 1985, No. 5",0.03907125,Flexure-Shear,0.5,0.4559477124183006,0.0079682078592753,0.0,0.3636363636363636,0.7783582794756119
1.3453048466940423,1.167901596332082,1.0325819178903983,0.14986035765960581,0.16566191604134856,3.5549783981557623,3.5971968360572735,0.9788442235753578,2.5540404388631184,0.008655253493194851,1.787735310980103,1.7551832197549748,0.012066638624015125,0.6596430855794628,"Arakawa et al. 1988, No. 27",0.03125555555555556,Shear,0.4583333333333333,0.4772038834951456,0.0080377273905954,0.2342905150653379,0.48,0.798056254749984
0.7727465721097982,0.630166686774717,1.0014713737004644,0.0776890320301638,0.14621955763845465,3.703910161652457,0.8035791408152312,0.7145061996044537,1.726457809643858,0.013345557633677767,3.5016393100240033,1.7891431820577246,0.04097891419060722,0.16972584281210734,"Ang et al. 1985, No. 6",0.025655,Shear,0.5,0.4486173633440514,0.0028655842938023,0.0,0.9,0.6347164891131942
1.0035444691673057,0.5743423039166062,0.9742437680735557,0.40130663876078965,0.15049844747146202,1.291786372442974,1.3209355985430222,0.9533378875450013,8.329698918958545,0.003101092471681735,6.858230316104808,1.7485055077075522,0.020973566302922127,0.7430850133551956,"Arakawa et al. 1987, No. 14",0.03382,Shear,0.9166666666666666,0.4874578512396694,0.0078652902804473,0.2373631775579981,0.72,0.8895234945129971
0.7228202229631336,0.5605140615494602,1.0022562884169066,0.1855708520625276,0.06266807562712884,1.7580173439367748,2.0051583731058438,0.7212690601992309,3.9828682459277385,0.003115419833477205,2.224919956564142,0.2599620386553626,0.01935279169763129,0.5472481142736743,"Arakawa et al. 1988, No. 19",0.03499555555555556,Shear,0.6111111111111112,0.4741350482315112,0.0,0.1163919118250633,10.0,1.2681390161984856
1.219652493483712,0.5,1.05,0.17238616296860249,0.1286828342612794,2.5065701907104008,4.9411385621901704,0.8861710876384419,5.5944265756427995,0.0,1.031924379174763,0.01,0.01254934032779973,0.809943580066569,"Arakawa et al. 1988, No. 23",0.034764444444444445,Flexure-Shear,0.6111111111111112,0.7192975609756097,0.0121154037253364,0.1765750467199741,0.48,0.8934662803166977
1.528131886401599,1.3972117379861642,0.9906159753438686,0.3685367165094091,0.44308658082406494,2.1977862447491963,2.094277701734236,0.9363726127699448,3.7294412173233837,0.0012744618391877134,2.2503402668477546,1.113429924121876,0.01750137009048338,0.3008943253913645,"Arakawa et al. 1987, No. 12",0.027192333333333332,Shear,0.9166666666666666,0.5180301206553978,0.0,0.2522500667428203,10.0,1.2580437994459532
1.1848173763028804,0.908319539059641,0.9594750630190959,0.3962244509192394,0.2565086681997534,0.5313399783008128,0.3172914958787416,0.8303249309632055,1.3416919017387698,0.022069828361194276,7.216451374642562,0.27051005862431576,0.006893593661925369,0.2780816735613557,"McDaniel, 1997, S1",0.024548556430446195,Shear,0.2191780821917808,0.1509282830056179,0.0027763101734626,0.0,0.8490566037735849,0.109021429281898
1.3865558563782852,1.3778650000542108,1.0473990852003743,0.34278389234491075,0.28753674324292433,3.432922089675184,1.2396778800015944,0.844701925810106,6.351338508603172,0.0045484499107959694,6.509024384758826,1.9658136530730324,0.012506533421904598,0.21036415156716037,"Arakawa et al. 1987, No. 9",0.033723333333333334,Shear,0.9166666666666666,0.4734861293888509,0.0076398520240014,0.115279887189792,1.0285714285714285,0.7445583362621556
0.7220036921450507,0.5,1.05,0.1796986514917365,0.07449796963320894,0.5862559286214966,4.037438539118877,1.0,2.236047868678255,0.0,1.8604137658621855,0.01,0.01760511947871374,0.4825142056975075,"Arakawa et al. 1988, No. 17",0.02691933333333333,Shear,0.6111111111111112,0.4711054313099041,0.0079350088296932,0.0,1.0285714285714285,0.5161115985806239
1.4377617170685357,0.7688961366708629,1.0437692978761353,0.05818006408474108,0.09812941360611627,3.8295988202229845,3.4891286827704517,0.5659236190477335,9.011623749061709,0.001955590654902306,0.5705625362026447,0.5370215556380827,0.013003095827930067,1.031798747319966,"Arakawa et al. 1988, No. 28",0.03468222222222222,Shear,0.6111111111111112,0.7801904761904762,0.0131410463687512,0.3830463976465049,0.48,0.8848315580592906
1.5181931279827086,1.4941796178249964,1.0312405888464906,0.2764594473915024,0.20429895551100957,3.9903424568903745,1.9603089126556688,0.6938120069906882,4.8270204428162415,0.0030214436193565578,1.443600571624005,0.6866230490388991,0.018100944696015718,0.2581146486651077,"Arakawa et al. 1987, No. 4",0.026900333333333335,Shear,0.9166666666666666,0.5198414147835635,0.0,0.1265660299915899,10.0,1.3077802781762395
1.792577577927477,1.0977908301232526,0.9925434308581328,0.25277641169126214,0.19445716308947059,1.5951522696396432,2.0582658584041593,0.9475224412181695,6.4059904517859945,0.000540261637280496,3.5968735990596903,1.5840420743773136,0.011005993004832626,0.2573831695809998,"Arakawa et al. 1988, No. 24",0.026938,Shear,0.6111111111111112,0.3494218009478673,0.0058854449376634,0.0857769776720253,0.48,0.7883885378995759
