ground_motion,scale_factor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
gm2,sf_2.0,0.0950277,0.168016,0.211839,0.242527,0.247982,0.234971,0.210668,0.203632,0.208086,0.197767,0.190925,0.186468,0.225331,0.1731,0.145215,0.119312,0.103832,0.10596,0.105345,0.104236,0.104865,0.10559,0.104871,0.104315,0.104378,0.103937,0.101155,0.0985062,0.0958404,0.0931477,0.0896504,0.0872916,0.0852549,0.0833263,0.0809389,0.0795279,0.0782606,0.077211,0.078308,0.0793632,0.0813092,0.0842566,0.0894994,0.0928756,0.0967721,0.101216,0.109188,0.116493,0.123772,0.131182,0.14022,0.146261,0.152523,0.159012,0.165531,0.174642,0.179928,0.184742,0.188968,0.192558,0.196128,0.196828,0.196768,0.19671,0.194125
gm2,sf_3.0,0.166678,0.26721,0.317102,0.342596,0.344863,0.350421,0.351912,0.347264,0.341493,0.297173,0.253253,0.230153,0.285223,0.226134,0.20046,0.194084,0.190092,0.194307,0.193207,0.190093,0.189216,0.184346,0.179232,0.175658,0.172724,0.169702,0.16527,0.162222,0.159347,0.156514,0.152881,0.150438,0.14847,0.146862,0.144838,0.143786,0.143104,0.142912,0.142456,0.142199,0.142266,0.142897,0.144258,0.145489,0.149231,0.15418,0.162464,0.16859,0.174501,0.180387,0.189714,0.197364,0.20527,0.213426,0.221635,0.235094,0.24304,0.250191,0.256167,0.260827,0.265719,0.268024,0.270493,0.272542,0.277296
gm3,sf_0.5,0.107142,0.169209,0.219921,0.256357,0.257321,0.234548,0.227909,0.242103,0.250723,0.220066,0.187255,0.173144,0.223421,0.158397,0.135722,0.127621,0.125217,0.134174,0.137637,0.139367,0.140124,0.129127,0.120697,0.116301,0.112912,0.111263,0.107977,0.10485,0.101888,0.0990534,0.0956315,0.0937438,0.0922558,0.0913367,0.0903822,0.0900454,0.0900326,0.0904566,0.0912015,0.0917896,0.0928063,0.0946665,0.0981004,0.100418,0.103289,0.106779,0.112839,0.117283,0.122153,0.127225,0.135098,0.140182,0.145325,0.150598,0.1567,0.166032,0.171492,0.17642,0.180607,0.183977,0.187328,0.18848,0.189425,0.190216,0.191248
gm3,sf_1.0,0.344723,0.521244,0.570103,0.595076,0.589326,0.575369,0.547573,0.52976,0.51228,0.454865,0.402543,0.366476,0.424887,0.348598,0.318419,0.288424,0.256657,0.254713,0.247121,0.240219,0.238546,0.226833,0.218394,0.21125,0.205723,0.199257,0.187601,0.179434,0.173763,0.171032,0.166943,0.163979,0.161226,0.158931,0.155956,0.154115,0.152595,0.152733,0.160129,0.16471,0.169669,0.17532,0.184981,0.191027,0.197723,0.20516,0.217743,0.227646,0.237462,0.247353,0.259108,0.266845,0.274798,0.283071,0.291415,0.303033,0.309934,0.316148,0.321357,0.325477,0.329218,0.330352,0.331136,0.331759,0.330229
gm3,sf_2.0,0.426794,0.771532,0.870428,0.915306,0.867765,0.809804,0.765831,0.738023,0.741984,0.693223,0.68075,0.657347,0.806749,0.651604,0.611206,0.558981,0.527191,0.533629,0.524717,0.519843,0.5172,0.471886,0.439576,0.412973,0.391789,0.374495,0.349956,0.338507,0.334949,0.332478,0.330478,0.329723,0.3303,0.332536,0.335942,0.339409,0.344365,0.350634,0.361149,0.368884,0.380832,0.394132,0.416983,0.431206,0.446901,0.464164,0.493537,0.516316,0.538765,0.561433,0.588938,0.607307,0.626179,0.645452,0.664531,0.692739,0.711512,0.728031,0.741189,0.750864,0.760624,0.765235,0.770425,0.774753,0.787293
gm3,sf_3.0,0.725349,1.28459,1.40505,1.45385,1.38351,1.32864,1.24156,1.1496,1.13808,1.06027,1.06387,1.02882,1.24422,0.903562,0.783029,0.729579,0.728344,0.736691,0.713818,0.693477,0.687573,0.632776,0.606761,0.587801,0.574215,0.559726,0.538066,0.52361,0.51105,0.499931,0.487685,0.49043,0.500766,0.513469,0.529055,0.540113,0.552219,0.56565,0.586919,0.600067,0.614423,0.63067,0.658396,0.675662,0.695004,0.716594,0.753488,0.782023,0.810359,0.839264,0.874571,0.898006,0.92204,0.946771,0.971509,1.00657,1.0265,1.04401,1.05856,1.06999,1.07883,1.07806,1.07477,1.07222,1.05849
gm4,sf_0.5,0.0317891,0.0318686,0.0528555,0.0672785,0.0659504,0.0541497,0.0538306,0.0616497,0.0665015,0.0603128,0.0524309,0.0495644,0.0690306,0.0475035,0.0383496,0.0374076,0.036386,0.0368845,0.03851,0.0408607,0.0421081,0.0420305,0.0414928,0.041055,0.0408747,0.0405835,0.0394602,0.0386547,0.0378086,0.0369458,0.0360394,0.0360496,0.0361603,0.0364033,0.0365982,0.0367714,0.0370358,0.0374412,0.037956,0.0382199,0.0387649,0.0403713,0.0431158,0.0448659,0.0471874,0.0498224,0.0543529,0.0578793,0.0614128,0.0650412,0.0694707,0.0724601,0.0755924,0.0788946,0.0822684,0.0870262,0.0898124,0.0923445,0.0945028,0.0962611,0.0979735,0.0984598,0.0987713,0.0991117,0.0990674
gm4,sf_1.0,0.0622795,0.0617954,0.0858894,0.108063,0.110216,0.103312,0.10957,0.120202,0.125562,0.112119,0.0973058,0.0876298,0.115909,0.0864426,0.0776328,0.072577,0.0721308,0.0745488,0.0787554,0.0838249,0.0864512,0.0867407,0.0860106,0.0854095,0.0852864,0.0849084,0.082893,0.0807199,0.0784468,0.0784268,0.0780915,0.0777196,0.0775313,0.0775419,0.0773621,0.0773416,0.0774939,0.0779179,0.0783811,0.0786096,0.0789915,0.0797222,0.080884,0.0819694,0.0843109,0.0886935,0.0962499,0.103052,0.109861,0.116812,0.125297,0.131019,0.136928,0.143047,0.149169,0.157619,0.162571,0.167091,0.171026,0.174226,0.176883,0.17727,0.17719,0.177201,0.176781
gm4,sf_2.0,0.186082,0.219809,0.241852,0.239847,0.247674,0.244155,0.231951,0.235705,0.240339,0.22798,0.222101,0.196131,0.220144,0.198063,0.191172,0.191118,0.192539,0.192232,0.192254,0.195604,0.199651,0.200746,0.198855,0.197279,0.196139,0.195347,0.197012,0.196784,0.196242,0.195442,0.193896,0.19268,0.191921,0.191647,0.191088,0.191067,0.192963,0.195927,0.202072,0.206962,0.21243,0.218829,0.232101,0.241832,0.255059,0.271369,0.29917,0.321194,0.343077,0.365268,0.394101,0.413852,0.433764,0.453915,0.473726,0.501287,0.517663,0.532522,0.545342,0.555742,0.565716,0.568621,0.57023,0.571597,0.573764
gm4,sf_3.0,0.281823,0.429017,0.474214,0.503912,0.489881,0.453528,0.417952,0.392846,0.37675,0.343528,0.342908,0.32613,0.331043,0.316555,0.3233,0.320111,0.313224,0.309247,0.300598,0.301658,0.303842,0.299652,0.301621,0.304624,0.307951,0.310634,0.311813,0.310995,0.310052,0.309247,0.310282,0.310836,0.312169,0.314665,0.317626,0.320277,0.323649,0.328107,0.335066,0.339443,0.344461,0.350808,0.361694,0.368545,0.376587,0.386051,0.401998,0.417245,0.435124,0.45301,0.474469,0.488494,0.502772,0.51741,0.534332,0.563233,0.580439,0.596091,0.609517,0.620132,0.629566,0.632101,0.633546,0.634771,0.638839
