ground_motion,scale_factor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
gm2,sf_2.0,0.175992,0.337674,0.452038,0.528777,0.532047,0.494622,0.446105,0.434009,0.433491,0.393648,0.378703,0.372821,0.489454,0.355737,0.308236,0.260889,0.215574,0.236245,0.273727,0.337828,0.381804,0.36289,0.369908,0.407445,0.470356,0.494414,0.592916,0.601829,0.579211,0.529109,0.461337,0.390207,0.336058,0.318292,0.288608,0.315076,0.348819,0.409522,0.390247,0.346574,0.30068,0.297788,0.279909,0.272398,0.282963,0.351115,0.523511,0.531386,0.51679,0.508597,0.429354,0.427641,0.44182,0.482425,0.502501,0.615289,0.712862,0.753393,0.905048,0.987653,0.764631,0.635147,0.493743,0.411189,0.163743
gm2,sf_3.0,0.28552,0.637373,0.804245,0.915199,0.920463,0.878389,0.824299,0.808823,0.814095,0.751193,0.700535,0.603346,0.725868,0.5094,0.43327,0.366934,0.314874,0.389541,0.433873,0.471402,0.494859,0.424646,0.40574,0.425278,0.539753,0.652597,0.821656,0.867086,0.907012,0.897151,0.782373,0.643403,0.5268,0.502658,0.525156,0.58152,0.615232,0.67251,0.604227,0.543116,0.483062,0.47281,0.485515,0.472444,0.485085,0.55451,0.737801,0.768077,0.765545,0.733565,0.644243,0.660335,0.657599,0.695467,0.723433,0.736216,0.814178,0.970569,1.12445,1.22639,1.0076,0.780322,0.57421,0.48566,0.220545
gm3,sf_0.5,0.173968,0.299987,0.386226,0.489799,0.512704,0.499493,0.463981,0.48508,0.500063,0.44849,0.412875,0.450287,0.609791,0.44187,0.352743,0.277508,0.266766,0.325343,0.377824,0.448836,0.515359,0.496603,0.460053,0.455834,0.523358,0.615371,0.771205,0.80933,0.822125,0.792967,0.660494,0.542654,0.449323,0.410202,0.397092,0.421584,0.440747,0.489097,0.480398,0.450145,0.401655,0.409101,0.404363,0.413108,0.479258,0.592277,0.800511,0.806181,0.841617,0.845648,0.733589,0.670874,0.600504,0.5983,0.605332,0.666832,0.723124,0.780736,0.857514,0.890933,0.763092,0.642017,0.485947,0.39989,0.176357
gm3,sf_1.0,0.473263,0.923565,1.08046,1.18029,1.17145,1.15763,1.15235,1.08673,1.00473,0.901875,0.85024,0.865658,1.14187,0.874106,0.79193,0.712796,0.684704,0.762027,0.799327,0.844308,0.907019,0.853336,0.81761,0.829083,0.916121,0.983566,1.18781,1.29436,1.34176,1.30729,1.19684,1.05096,0.926746,0.937374,0.891792,0.915402,0.922715,0.997937,1.00028,0.987762,0.94048,0.970626,0.949844,0.906106,0.899953,0.976734,1.15758,1.16363,1.14412,1.10706,1.03325,1.03378,1.02248,1.11424,1.23958,1.44528,1.63077,1.84502,2.01524,2.05656,1.64339,1.29289,0.949798,0.781737,0.30992
gm3,sf_2.0,0.957751,1.85034,2.00587,2.05589,1.94549,1.83526,1.82051,1.83123,1.89874,1.8103,1.79012,1.81689,2.3641,1.87972,1.76072,1.66227,1.65896,1.85522,1.94991,2.07837,2.24295,2.13666,2.05539,2.05653,2.21913,2.31448,2.44657,2.35045,2.27278,2.21059,2.16988,2.06874,2.0278,2.14662,2.06427,2.12841,2.13942,2.30139,2.28054,2.24385,2.12293,2.18018,2.12921,2.04175,2.0367,2.21705,2.63391,2.66855,2.64086,2.56209,2.38893,2.36173,2.28282,2.42137,2.63507,3.10524,3.57875,4.1076,4.43085,4.3993,3.32207,2.6823,2.11581,1.7916,0.768566
gm3,sf_3.0,1.58568,3.17515,3.37897,3.44261,3.28717,3.17181,3.09333,3.03626,3.12,2.98292,2.99436,3.05277,3.87976,3.07501,2.87813,2.72152,2.65516,2.90183,3.01782,3.20643,3.45518,3.28604,3.17415,3.19825,3.46584,3.63647,3.9452,3.86361,3.7887,3.7136,3.64564,3.46721,3.37606,3.53443,3.3665,3.45598,3.46381,3.71226,3.68531,3.62959,3.43853,3.52452,3.43895,3.29704,3.28592,3.56821,4.25644,4.32553,4.25812,4.05729,3.61209,3.45118,3.2102,3.27172,3.82846,4.53672,4.8972,5.67807,6.09587,5.94995,4.36066,3.46278,2.7393,2.35709,1.12199
gm4,sf_0.5,0.0536031,0.0764658,0.119062,0.149931,0.155587,0.136399,0.130516,0.144383,0.156369,0.147676,0.134905,0.140331,0.194125,0.139621,0.110847,0.0807916,0.0706384,0.0886302,0.100098,0.110635,0.121168,0.109789,0.0998996,0.0996173,0.123454,0.147374,0.177328,0.16495,0.158815,0.147074,0.116566,0.0955769,0.0964176,0.108663,0.112327,0.12166,0.130171,0.14886,0.148847,0.140144,0.126453,0.125797,0.112675,0.100115,0.0962142,0.118391,0.171309,0.177353,0.168323,0.145735,0.112987,0.104575,0.0962957,0.112827,0.136878,0.167338,0.204531,0.23497,0.253728,0.260281,0.200054,0.155758,0.121456,0.109359,0.0568975
gm4,sf_1.0,0.106826,0.131661,0.198388,0.244744,0.256889,0.243189,0.239054,0.25809,0.272808,0.25393,0.235158,0.237887,0.3224,0.237,0.190932,0.146001,0.145021,0.191852,0.230629,0.277709,0.314908,0.301819,0.271301,0.26844,0.324827,0.369939,0.380712,0.369572,0.351602,0.322725,0.247832,0.187855,0.184419,0.212911,0.228137,0.251601,0.276915,0.316832,0.309347,0.280626,0.2443,0.230729,0.182952,0.156492,0.173078,0.209095,0.29428,0.310743,0.307285,0.282396,0.283641,0.271793,0.243355,0.22764,0.21817,0.277108,0.345764,0.405917,0.438599,0.47577,0.435392,0.375454,0.301561,0.256481,0.110003
gm4,sf_2.0,0.247813,0.36229,0.446163,0.533898,0.566555,0.5565,0.532053,0.526836,0.531938,0.480997,0.429173,0.416418,0.548735,0.415838,0.354997,0.30326,0.311607,0.382387,0.436649,0.500993,0.554386,0.51054,0.472733,0.586075,0.778224,0.938088,1.14978,1.12013,1.05007,0.941941,0.765108,0.628856,0.538583,0.515421,0.455453,0.456518,0.454008,0.487635,0.470529,0.450814,0.419341,0.430393,0.437201,0.444857,0.496549,0.609812,0.836882,0.860598,0.822256,0.72684,0.597453,0.563381,0.564366,0.606807,0.646279,0.705438,0.831976,0.933546,0.96067,0.904667,0.815292,0.70139,0.56206,0.485913,0.220153
gm4,sf_3.0,0.497568,0.902675,1.00162,1.04989,1.01325,0.947057,0.845382,0.811866,0.824207,0.768669,0.722313,0.657333,0.859595,0.642102,0.544666,0.467128,0.454559,0.545951,0.620165,0.717667,0.800101,0.753192,0.716885,0.699983,0.753572,0.906308,1.14194,1.16879,1.17401,1.15487,1.08517,0.975999,0.900627,0.912204,0.835661,0.840967,0.836433,0.887578,0.824115,0.768457,0.689782,0.679679,0.632411,0.602016,0.633327,0.755721,0.977079,0.997352,0.969824,0.928949,0.876578,0.890062,0.889256,0.965567,1.06014,1.17806,1.24625,1.27273,1.35559,1.50786,1.35366,1.15033,0.923014,0.795795,0.393243
gm5,sf_0.5,0.086285,0.139815,0.189957,0.228076,0.21776,0.200621,0.181518,0.199759,0.215516,0.202048,0.184213,0.179435,0.247529,0.183222,0.158595,0.126515,0.121016,0.145303,0.165995,0.190125,0.215567,0.217778,0.198967,0.18633,0.205917,0.246243,0.295328,0.268857,0.280978,0.275655,0.234117,0.194327,0.169389,0.172212,0.162041,0.171683,0.183479,0.210425,0.214144,0.203716,0.188268,0.192224,0.190671,0.18533,0.204984,0.254222,0.366666,0.413857,0.428876,0.397089,0.316619,0.270871,0.225079,0.213088,0.200301,0.279432,0.347081,0.404866,0.444107,0.45212,0.333232,0.251667,0.21938,0.210135,0.108607
gm5,sf_1.0,0.185262,0.390507,0.495657,0.580375,0.601869,0.587234,0.579309,0.596816,0.587119,0.504426,0.469202,0.509626,0.670407,0.483554,0.38687,0.309486,0.304557,0.369829,0.413987,0.470399,0.525082,0.522793,0.509843,0.526186,0.659881,0.796452,0.954089,1.00936,1.03284,1.0033,0.874177,0.72688,0.589334,0.505433,0.478315,0.517695,0.54643,0.604475,0.568715,0.515907,0.440597,0.417893,0.373541,0.359935,0.38381,0.461948,0.697048,0.755645,0.795933,0.828518,0.789476,0.738574,0.631311,0.588188,0.590521,0.625406,0.724227,0.814736,0.880215,0.908899,0.781258,0.65636,0.523073,0.448901,0.199343
