GM_Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,66.2406792464108,161.5305565124817,134.18490176841124,145.46330858979275,135.70301118775188,155.68985555395636,166.8474493638844,146.52682732981557,165.97160241409432,132.9630615611284,168.48659867478898,111.79317936293053,141.04236018480918,146.32399296969447,175.04722070256202,100.21828678257427,161.39796156993128,160.74745554457863,176.530329691213,142.07889333941344,136.9762030007658,158.8114083173481,124.38051488217342,169.80126837774873,135.0662841615693,138.62552059739934,149.07361998933715,107.60225006915795,117.93657559815671,140.64783933939833,102.48116057195675,135.9673483197129,149.8525025696915,103.7918495622236,103.32701760925715,98.64763158420747,163.61271006985214,158.87602404322178,115.31185527642079,99.65814883984072,162.0773687390558,161.940403172981,101.23273576668706,110.92158687787175,164.74799833318474,153.32984488301133,135.99850081836445,143.67071516048895,133.75851884793514,136.09392790312097,150.54335971909597,167.53642311444645,144.7564023468366,132.46416065333995,118.04218991695136,111.30082559881792,109.5139787178455,108.835876063742,125.695255897455,109.91304312284109,146.82943775248972,189.8134801215884
1,56.40088395253807,110.09336854845861,117.09394811509601,121.95337111594326,110.99778920148093,147.2646732353125,130.19786190083542,127.36800741079439,121.1111731442391,112.120693299326,155.79330211888612,261.2021357353725,122.35260347988718,127.24517106351253,161.15480144460244,90.56778778474829,123.11617301125351,121.82932646536962,130.0341474953947,109.36560863031187,118.06445937129568,107.50830027716027,124.4001943767006,133.48809025036977,116.31439681922924,121.24609860333015,102.06139986648711,115.90599694335832,115.47476252833796,109.62684676021756,134.9721646841964,108.27535208967214,101.68691050909437,117.8414353246639,136.22710153601346,147.57109201964963,119.43519094467163,117.6835101854241,122.96556454001997,149.23071545618785,127.39271725055227,127.34331250858679,142.2130270681483,126.75670070471203,128.12719966798892,108.76279090077644,118.10010105600618,125.00812748479059,108.53663754231712,117.4706273043447,130.5020651734177,120.89785665522899,114.298665758331,146.4506389483808,201.1693404474667,188.3472529530078,284.8057531989472,295.2410619810531,208.54297436666567,295.83525380132704,144.56423076082126,115.24143757663666
2,128.90681510385576,115.25990892394816,135.82769234491943,146.18893788665008,330.2247177394965,413.0776694137312,186.0095716846541,144.33442121083266,150.19724332258727,335.61758158454944,424.19441564410977,133.81262646452825,139.34722513719964,149.53097070521133,435.1347086914324,77.46788216433742,151.31006392780824,163.3321617095382,205.95045102930703,109.76774578934756,137.6933933769102,219.53783010038535,238.72189966564406,188.8249012343325,136.42631919544783,138.97794777317392,211.51637139034798,233.81402370701255,222.59870553218744,214.41452336696426,263.9345699714941,261.6449076667204,208.63367081424485,242.21108880645863,265.4064602246211,257.2686840165849,148.09757977332882,154.08615437396531,246.78980159931496,260.3257172231413,178.79298483541692,179.5247572064199,254.99895293776893,267.54378614121623,183.9003368548568,103.34244337277882,136.9824810717478,142.10410442004905,121.49653175443942,137.10433784488836,145.4061649704381,152.1662993521831,124.67069142836144,119.91382252210317,119.57667294208346,142.8898768890936,134.16092247732786,120.48097887919229,98.90058056013183,122.42503917388211,125.57271826174912,110.75857470883648
3,491.37345938148167,491.0566112572118,206.63617807893385,220.73054234528755,319.1625164458068,334.62983074466956,273.2628267064008,212.1965392292005,251.21149808704507,323.2898906341255,339.72825363096877,296.77547686549286,206.36905751535554,221.15697386686384,345.7472776788785,178.17935410547835,232.39387832967674,269.48700083622543,259.0554454535916,202.86104405645813,207.9578596376839,233.77091213823235,240.73732618945542,271.1154292430126,207.2705087423145,210.13777476220474,230.82190580229138,217.37743982271496,217.591148463891,220.2188935407252,257.5898489400806,285.8995940555443,235.66570814022802,216.81511830191656,255.53320708859314,259.4165543691737,247.09699347140065,261.6009397738943,252.58187797038266,261.6018619256447,273.7698630267554,273.6033830683432,255.07524050806035,265.1083910253524,273.20855060453357,196.91530702822428,207.24731006024305,210.9631377874659,198.43267824268662,207.60501937590945,209.71285426302177,238.47146794484502,211.83569585415825,217.20059753810304,277.09065521222414,220.41772425211215,295.62243784234283,270.31597201115744,283.84947358891833,265.3674826770374,262.156091683609,244.05290358791092
4,409.97421962019325,328.1937025960579,203.67781459087013,215.32869276055726,166.34141927342083,164.54948474071256,207.61452839873047,207.86315627877008,213.51250962129575,166.24977238242735,167.63727543490322,194.56100143072052,193.4602805706169,205.54741173220543,171.01440962435322,155.94773581730414,208.0215664634061,209.01854522325465,202.7588660483731,196.00863991533225,206.6961592895056,197.12110613268226,186.44310668364068,205.90142385460214,210.3469191649533,221.39448336983614,198.88000867890565,185.7255315781208,196.30075703143999,198.55525968231888,161.3496385020458,160.11243312356837,201.32256871808607,178.77967168823739,187.72257350020826,161.956886623796,217.01275679118552,214.7479432794706,184.06816429433863,163.14804964835764,210.34930465338823,210.6554397849996,166.7544530827457,164.03182404760565,209.79038839210017,198.48348313421002,203.31815789987112,208.01905671741144,204.37220944635143,206.83549511849031,199.97557487549525,208.42578653789053,193.1699497560047,190.31001487120164,169.44285561316406,177.87529210205616,189.2150053456588,169.60473087054075,188.55240237610454,160.26436522287437,189.26910347391504,196.1864512295408
5,328.4918888565321,215.26058934987202,201.87002209131145,200.62864206237614,220.7579495123432,245.96296161716327,190.0777560923366,202.4808087020046,191.059453451619,224.2240412108223,240.9167321785531,159.18510904353303,213.00254462909442,206.0186481714499,240.19712797531042,105.27982496519093,201.1799506544702,183.44029682645547,211.44615419340533,180.34487058206687,200.8782416620563,239.8439613957879,239.84679107523064,192.07015008704425,197.81732041185612,203.67980425532596,233.6286491041339,218.22040978905665,227.8944157839658,236.56807897885503,175.382343750426,156.33448160507058,230.68790654349905,203.51249003522383,217.47230600871694,192.56098812498752,191.94078072010882,186.18104004557617,224.64465247107125,197.53872779113527,184.9929948372947,185.32538703648473,208.324874511857,170.70394785856968,188.0353532722276,186.98545715100525,202.81956531401704,201.85198504452376,190.7633410161285,200.48108716596016,212.343265163599,199.73017658217992,205.83422645264466,224.45893496795404,150.3922341904085,193.62133029196386,161.913120124863,168.5465543424014,156.6003412702654,160.1594190391765,240.30551162092033,228.763624340105
6,151.58785910878922,251.36613429666494,109.90079859955841,87.6668212810654,132.14896138711745,106.47479723370219,94.60945196970673,98.91639540038298,92.40300329646654,133.4413528882522,108.92532460979413,109.03392233440269,113.3882628541839,94.28049536841021,110.8108001392004,130.2479656631212,91.01600936614787,98.70833558479406,96.86586685127645,126.30067294215291,108.04415107344036,98.74584833405036,97.966638077839,99.71990160702768,107.03190368665867,98.90569569307036,94.48559909539834,98.17118359127093,90.75512282622053,93.14097181583084,112.49498737958066,113.52922749663283,93.82455651016424,112.61698816588387,125.21535835544208,115.86481010051473,89.15040563720173,92.77492092568329,104.79071109493893,117.07950164884656,92.67503697812684,92.06328450824843,121.03983592572703,112.67838627218876,91.8245346641918,137.90814597685346,109.70517399122718,104.09064426977665,110.30585247994111,108.23058243442787,105.29625771142925,90.85952151370402,116.5615080977604,117.7078097301747,117.07992207493456,122.783982167068,102.77733705568355,105.08026037228713,144.87390024565272,108.20703940561873,124.86849383833372,154.89640576238273
7,549.845861677798,329.17967993170583,275.47634647934103,265.13052311452225,369.23904379589976,386.4882844549902,249.64584933921896,272.88276061174696,260.2788676139635,375.15279030138163,388.83362171028716,425.19078953560575,284.5048346172041,275.3853893569534,392.952446555711,299.8073157222179,271.59512289680254,259.2694413901404,247.15512923454213,294.0210440905904,273.54737978138166,240.42883331407234,235.52191380706074,254.1633501398913,271.3316649653939,264.4681568939715,242.64287020978026,231.98637053975688,235.98039253155423,242.3327116956118,405.91961160123606,411.7417421381846,242.3661287542676,228.66626310895714,290.17748105817725,378.16842218617415,257.48156514673417,254.66551172130573,252.7031918483463,373.36914602454516,248.70498457813784,247.94280672351567,315.09240080215193,415.6261759322837,247.00297847801923,311.7944601952809,275.7616592774052,272.755241980758,275.2540135499057,273.4573235771839,280.8490232929268,270.42765976419173,290.6687408309925,385.6640278573356,380.9952175476452,406.724705943668,433.57799707877854,467.8776771854155,599.281578455478,456.46819621472514,420.1734418914023,391.9980757803039
8,56.343463095368534,110.57156268933358,269.5256691383091,234.20169429412817,289.7664100809881,278.8113561272146,305.33414932882005,237.62141292372496,261.26846420361414,293.8757225920941,268.6966856756676,349.02378116769796,273.3379744254414,240.58025318240252,266.54766699130846,130.57880885649422,245.72630636356814,288.54578121028726,318.771850231834,351.4848723603784,259.5579134917114,315.2812010927065,265.0219588537523,311.59878628907865,257.48909469431874,231.33034747533878,298.56175513307414,236.14620025259467,249.59054132958343,286.8612616969062,261.6730422924507,233.38762291968257,297.8082437166713,224.41152528173808,254.13388282953724,270.3390204984818,255.71067442022806,273.41274858994063,247.52205204546783,272.1057750104573,298.5094191702607,298.4037048245833,261.11756363399934,254.67968916903055,301.0001540311293,356.6639444162895,266.706422121745,244.18410810047874,305.07130465637874,261.07226148303204,246.103849491523,251.05706179391441,327.7416246280442,257.20390012811606,332.8371435969196,329.38306834941756,342.6155336291093,228.92077761816446,171.26706355012433,228.68807131415483,250.64531571082622,300.6478218146689
9,196.92747885535863,273.41099361227924,262.8346470233488,257.09117280364103,239.56183302832673,281.4025934733136,240.03700413493686,265.2608132062436,253.6441808087368,238.61620152267352,291.17984046157,257.5558751164504,274.7668428340654,270.38374196116433,298.9524006549697,227.83736350454538,267.3290812621543,254.74025829183256,241.82478425865744,248.08769630380715,261.395930487627,237.23720123629172,230.71322846217504,250.32980721117443,257.7731907008847,251.16327474064838,223.06915459157483,216.29527112341458,208.6780911320652,218.6762477682738,244.45799240430605,247.20787766847818,221.13268021352707,215.44263220568126,238.536911510565,244.43240015585147,249.3181173567322,245.8749177297521,234.99852953014283,245.78835787092305,237.47085133482148,236.16122886709792,241.29497070933257,250.28231887355594,234.9148644574526,251.74037595810233,263.73917563769635,263.0128319106152,252.70029088418542,260.94764991006605,274.5441459707888,266.8550467197027,271.1186207738116,242.9674300158535,256.49476185446906,269.0591886369267,252.88416527778324,222.7848116862838,237.8128245224912,216.73877263748363,259.2471928376615,288.3025769772015
