UniqueId,split,err_cal_exp,err_surr_exp,err_surr_cal,ar,lrr,srr,alr,sdr,smr,no_model_err,one_model_err,ColumnType,FailureMode
64,1,0.05439294958555291,0.15742018431104052,0.15227521158662288,1.5,0.2975403315468571,0.1333872229663706,0.2567829457364341,1.9444444444444444,0.7526079372813009,0.39897095554164846,0.6010290444583515,Rectangular,Flexure-Shear
352,5,0.06334252641617248,0.0987022811410032,0.06607640830988971,4.498360655737705,0.2782729531138365,0.0573855178626642,0.0926380853990227,0.7916666666666666,0.3608154540952911,0.34061376844172736,0.6599220504558365,Spiral,Flexure
379,3,0.07401394689325531,0.11037322486177852,0.06868437406355274,3.0,0.2677432121212121,0.0485525062547868,0.0428700183412512,1.1228070175438596,0.5041050008447017,0.43324961217510294,0.5679551253263131,Spiral,Flexure
374,1,0.061151432129703524,0.09023702231176622,0.07198240699083197,3.0,0.3479286155432214,0.0730848949551309,0.0905565245626531,0.6614583333333331,0.5016320326049301,0.43457491567776374,0.5654250843222363,Spiral,Flexure
190,0,0.04286588421956508,0.10137658573420852,0.09010078192392657,3.5,0.4177286036035967,0.1088761188952565,0.1111660079051383,1.3756613756613758,0.5119187778069219,0.3871840021162779,0.6128159978837221,Rectangular,Flexure
125,2,0.050840340404973115,0.11694887501849338,0.10239098967600772,4.5600000000000005,0.3242123618504666,0.0432283149133955,0.2,2.083333333333333,0.7609223826520778,0.5099557686468753,0.49178637593564384,Rectangular,Flexure
67,1,0.05194304084889628,0.07916963014021904,0.05021659027208429,2.0,0.092643441806449,0.0610952943185552,0.3499095477386935,1.3333333333333333,0.6677504471434148,0.49707914681892584,0.503092778429528,Rectangular,Flexure
32,2,0.07185767634479402,0.15849992591152268,0.15349271911104087,4.0,0.20693024755868,0.0416846908295117,0.0320060483870967,1.851851851851852,0.4528985576643131,0.5186583741968008,0.4845416924958251,Rectangular,Flexure
149,1,0.04104992281966353,0.21008431577741257,0.20276351439403928,2.0,0.1460085905369636,0.0388969081265255,0.0962443785352687,1.3281249999999998,0.741460410374528,0.4712984718116829,0.5287015281883171,Rectangular,Flexure-Shear
100,2,0.03992348895214644,0.13739117670242837,0.1375559552127021,1.1097560975609757,0.3157000782988364,0.054460996242006,0.2696561127101954,2.4722222222222223,1.817652418872768,0.2430992761104721,0.7569007238895279,Rectangular,Shear
337,1,0.03295878573280186,0.15722774875051518,0.14708647220147633,1.6363636363636362,0.5032627986348123,0.076397473226608,0.1235422681829171,0.9722222222222222,1.0487633365439422,0.4875738626351944,0.5124261373648056,Spiral,Flexure
155,3,0.027615975985752043,0.10923766690875444,0.10439468550584698,2.0,0.0620035612233917,0.1971910684634253,0.3496965892446118,0.9114583333333331,0.2932052623748773,0.5373370468594063,0.46266295314059375,Rectangular,Flexure
335,4,0.03725361345324952,0.10597190223205545,0.09514321449601974,1.6363636363636362,0.4741350482315112,0.0,0.1163919118250633,2.0,2.6253097065065103,0.39188120375374835,0.6081187962462516,Spiral,Shear
398,4,0.05648129010606729,0.08972534398965079,0.06639900101161192,4.698090692124105,0.1385867845521421,0.0438650292272484,0.1028987116985612,0.8466666666666666,0.2855176954456508,0.40162227610316736,0.5983777238968325,Spiral,Flexure
396,3,0.056989599077355145,0.16333892328832597,0.14968208352620344,4.698090692124105,0.1540837093423177,0.0440149831610284,0.0,0.8912280701754386,0.2172556643312284,0.4248614781950648,0.5757696862259184,Spiral,Flexure
306,1,0.05730642359054235,0.11250537612350038,0.10724821663879795,6.0131578947368425,0.2654607560276389,0.040424478291429,0.0685014756456048,0.9329140461215932,0.3249960137095146,0.49047945531020903,0.5095205446897909,Spiral,Flexure
145,0,0.03352900960787365,0.11112508065295237,0.10041444416461211,2.0,0.2384161954674675,0.1055673753920099,0.0997304626188199,0.913978494623656,0.5598902879369332,0.442283180112503,0.5577168198874971,Rectangular,Flexure
169,0,0.0664690045292651,0.09299750798447404,0.06362785736276667,4.7,0.3920207541420919,0.1786945821343354,0.4617046818727491,1.3333333333333333,0.3043874938185217,0.49613642388443463,0.5052103106539341,Rectangular,Flexure
136,3,0.03772072359397044,0.13348308219149166,0.1309776419015848,3.8278688524590168,0.3547213947733016,0.0546170367251115,0.2324374614267423,2.305555555555556,0.7295960902153189,0.5426658485788091,0.45749446761405854,Rectangular,Flexure
175,4,0.024752327068574824,0.15027751066740533,0.1446872389595618,3.004926108374384,0.1622985079540362,0.0535658231327001,0.0495093276968009,1.336842105263158,0.45659162347404,0.422540136834733,0.577459863165267,Rectangular,Flexure
33,5,0.05265119099955979,0.16041701934263566,0.16300044734128644,2.0,0.2318495378349267,0.0469226315244763,0.14296875,1.5151515151515151,0.8042647315190902,0.40984751573093137,0.5901524842690686,Rectangular,Flexure-Shear
322,2,0.03266603609233914,0.14862407077005443,0.14365835246195122,1.090909090909091,0.5198414147835635,0.0,0.1265660299915899,2.0,4.068249664091903,0.3950958603776545,0.6049041396223455,Spiral,Shear
191,1,0.06582533259025619,0.10334568144179007,0.07596768740161342,3.5,0.3899827922941327,0.1016444947619922,0.1556734317343173,1.3756613756613758,0.5297706192504589,0.4173827497665773,0.5828152887854416,Rectangular,Flexure
105,0,0.06737304121194998,0.15552970189140153,0.1320905503289904,2.857142857142857,0.3961074481127173,0.0808182018164862,0.1407459535538353,1.25,0.7347613405349893,0.37661817049329066,0.6239691888577426,Rectangular,Flexure
