TH_file,factor
RSN2972,2.890909090909091
RSN4989,1.9636363636363638
RSN4236,2.672727272727273
RSN4227,1.8000000000000003
RSN5668,1.5272727272727273
RSN68,0.7090909090909091
RSN5287,1.1727272727272728
RSN4113,2.5636363636363635
RSN2615,1.8272727272727274
RSN766,0.5181818181818182
