eta1,kappa_k,kappa,sig,lam,mup,sigp,rsmax,n,alpha,alpha1,alpha2,betam1,gamma,name,PeakDrift,FailureType,ar,lrr,srr,alr,sdr,smr,data_type
1.2687659194979628,0.5603424577919727,0.989811403939767,0.4221572479166052,0.5088878961017931,0.2899578031618326,0.6554783078850007,0.5385702239761715,6.108898348448768,0.0131994385198564,0.8907177095416462,0.217072710302612,0.0045838259041179,1.921803752591049,"BRI No. 2 (Japan), spbaa1",0.0359493333333333,Flexure,0.1666666666666666,0.375175965665236,0.0028006571973863,0.1049193101240992,1.1571428571428573,0.2174876655574191,train
1.3025731730672832,0.6645206261328873,1.0198296738224892,0.2954166285860299,0.3798018484313796,0.1974795495837829,0.3960078296106895,0.5419343707896654,6.798783374109237,0.010121046848234,1.4280882500733023,0.496302074297393,0.0054161051924563,1.467695180842852,"Vu et al. 1998, NH1",0.0510593406593406,Flexure,0.1666666666666666,0.2932552861349178,0.0029577351776138,0.1481933204537532,1.0,0.3102844219111448,train
1.0819391243233627,1.690771067280048,0.9988111077014904,0.3440182794485443,0.4697613258150507,0.7162810992018283,1.5473623546647677,0.5502374990614256,1.7182158161038608,0.0081897384238779,7.864278010043802,1.3566320418081534,0.0077360136107454,1.3224532535946432,"Saatcioglu and Baingo 1999, RC4",0.0444376899696048,Flexure,0.1519756838905775,0.1525532444444444,0.0126360242741058,0.4187543391573424,0.9,0.2135472115754018,train
0.519748009034884,1.07314155624211,1.0062064417548822,0.3735300866518439,0.3419813111694573,0.3344428077229638,0.6794397734455336,0.9834440528250594,2.987563263369709,0.0009819958225643,7.661978214055971,0.6578513928766675,0.0008390052151651,0.3384983805376968,"Arakawa et al. 1988, No. 16",0.0350755555555555,Flexure,0.6111111111111112,0.4608,0.0077614305115436,0.0,0.48,0.7694040372681877,train
0.7075290235299123,1.8382746193164576,1.0498839612509356,0.2047353800257255,0.3832264857719681,3.123346443811636,2.0972436370507,0.557610881017578,5.62424214340728,0.0014629134537621,6.394973262920437,0.3207607674614604,0.0030964632597268,0.3835941314704468,"Lehman et al. 1998, 415",0.0734087926509186,Flexure,0.125,0.4487600395128919,0.0066147661781198,0.281132086683322,0.75,0.333086854485856,train
1.4788352443959665,5.314510241509449,0.9766170986984036,0.3864202900770636,0.748542231402226,2.441888900249072,0.3140884418354441,0.6377860589814045,1.1984694142411785,0.007345329131694,4.025868062527579,1.336204092568741,0.0059190000333309,1.3767156179088818,"Davey 1975, No. 3",0.035756923076923,Flexure,0.2857142857142857,0.2887488735632184,0.0017932548881206,0.0556127617240645,0.6,0.5283890120372289,train
1.960111099525177,0.6215256945866132,0.952017376025428,0.2604030194623564,0.4846475740318665,0.9647137256037466,0.8060992555556166,0.3467215125014948,5.716156533355077,0.0003579843835128,2.6062529385588893,0.185236802407106,0.0045449037310472,0.72372385685555,"NIST, Model N4",0.090024,Flexure,0.1666666666666666,0.3441574803149606,0.0025691067991772,0.0962448789721067,1.1571428571428573,0.2168245575199555,train
0.6952935722549383,0.626196860185809,1.0103860642186198,0.5633464856231362,0.214474096368738,1.0708376531015542,1.863669830398143,0.951193075104204,7.216170399204289,0.0053366127765556,7.324941014294624,0.0815269212001624,0.012911575082013,1.2927390583135303,"Graff, 2001,C8",0.0960418157988316,Flexure,0.2128524257048514,0.163271043034654,0.0062902593934747,0.1028987116985612,1.1811023622047243,0.2452069227785667,train
0.733325605189586,0.6223606388149632,1.0139840252215897,0.3926738181274265,0.5436168975033897,0.6306197402608174,0.5649459168421862,0.6632385000340999,1.749506192806975,0.0229874883814621,9.695930381790294,0.3783253231648606,0.0041055518603839,0.8492919426849024,"Vu et al. 1998, NH6",0.0961181318681318,Flexure,0.5021978021978022,0.3490480589717059,0.006923637953911,0.0848654923315939,0.7125,0.5251420937266751,train
1.8759748713972044,0.8428647468629986,1.0104541888477778,0.381267635145264,0.6269028605959914,1.3520732015271186,0.4345451738232144,0.4617255224608485,2.131855022728389,0.0053737475277495,1.3670976908688766,0.5248488525950221,0.0025427757669414,1.913639170783175,"Saatcioglu and Baingo 1999, RC2",0.0744376899696048,Flexure,0.1519756838905775,0.2112275692307692,0.0174960336103004,0.3134128110117324,0.9,0.1574754177604063,train
1.2815448189820733,0.5255992214547707,0.9825924159331756,0.4453285451627988,0.7789806690271475,0.8291922075614211,1.036180882386132,0.975745396576314,5.604663327018075,0.0120032960348741,5.179707271422258,1.6770474369030677,0.0043664749558578,1.877988088909624,"Hose et al., 1997, SRPH1",0.0873732240437158,Flexure,0.6670311645708037,0.1602063531308787,0.0014743130864549,0.0573716286842055,0.3023622047244095,0.50528928547542,train
1.391915320370852,1.5120635124535713,0.9839769394452672,0.5101730254891992,0.4147380068318462,1.331999193378607,2.827114767288972,0.8883704859639798,1.7015897249848653,0.0203859243247963,7.136842275467635,1.097147546083102,0.0047863692278902,1.4871865297671811,"Saatcioglu and Baingo 1999, RC7",0.0862188449848024,Flexure,0.1519756838905775,0.1525532444444444,0.0124471244737513,0.4187543391573424,0.6780000000000002,0.3695593849924295,train
1.089788719020542,0.5259018587355435,0.981779177424312,0.2943870983010445,0.782606299716253,1.7949001162740132,0.719936194348661,0.7986248139720836,2.4960785013343547,0.0465119523584307,4.218880468127941,0.6960529332987039,0.0122754323485826,1.235262441864037,"Kunnath et al. 1997, A10",0.0660799096209912,Flexure,0.2223032069970845,0.2808416265271949,0.0028048406120239,0.0934932061873213,1.263157894736842,0.2502938239202187,train
