UniqueId,err_cal_exp,err_surr_exp,err_surr_cal,ar,lrr,srr,alr,sdr,smr,no_model_err,one_model_err,ColumnType,FailureMode
101,0.03203630414648979,0.09274042393067504,0.0848591849895226,1.498360655737705,0.3767542662236212,0.0122245363569698,0.1035432090665022,5.833333333333333,2.2133958786422734,0.35909842820659255,0.6409015717934076,Rectangular,Shear
300,0.08912047811887333,0.14085448641111178,0.10445389236208887,6.221498371335505,0.1215541129471953,0.0162826620878193,0.0947891248821173,2.083333333333333,0.3157237110615077,0.42597029807277453,0.5753827613676744,Spiral,Flexure
219,0.051955227458378446,0.07345247827252376,0.0504682439386347,6.557377049180328,0.1130376979162133,0.0344163403111726,0.2640687436957026,1.91740412979351,0.379560746716228,0.4150924089886477,0.5849075910113524,Rectangular,Flexure
245,0.1277606179917438,0.16141526694826036,0.15470744616542834,2.0,0.1671789982056369,0.1128889111594765,0.5668934240362811,1.3123359580052496,0.5287605946555258,0.44753675686885713,0.5524632431311429,Rectangular,Flexure
394,0.044684683637871404,0.07094791894780592,0.04912332465254149,5.999015748031496,0.2441301603163874,0.0089631860669541,0.1869728508666061,3.307291666666666,0.6461033519553142,0.4927330991042237,0.5077451177725291,Spiral,Flexure
55,0.04549532828556778,0.19377833785157794,0.19449099327424613,1.25,0.3222606488835563,0.0163848243082742,0.4451926674148896,2.6791666666666667,2.0709533236258437,0.4199808515586856,0.5800191484413144,Rectangular,Shear
5,0.04002115408259523,0.11392573118229643,0.10390090024361456,4.0,0.2728393348643067,0.1533523193616712,0.3800317796610169,1.3888888888888888,0.3176669416831,0.49854943740876795,0.5014505625912321,Rectangular,Flexure
320,0.09425018291873548,0.21370685994057437,0.20678277130016773,1.090909090909091,0.5162314049586776,0.0262751385572964,0.0,2.7777777777777777,2.934593692473316,0.3433365375767862,0.6566634624232138,Spiral,Shear
203,0.04484476733954761,0.13951703270586072,0.1321579373950944,3.916666666666666,0.126986024584079,0.064019931588114,0.0,1.3229166666666663,0.2216904579615003,0.3533168920532587,0.6509822595676421,Rectangular,Flexure
346,0.035122174986702684,0.14556634163888152,0.1445337967640751,4.498360655737705,0.3147363055908219,0.064904999513634,0.0943935756784077,0.7916666666666666,0.3591616971926681,0.4823263994746849,0.5176736005253151,Spiral,Flexure
184,0.04826040521343477,0.1595141080592868,0.1577365947246048,3.004926108374384,0.2342701713145108,0.0763754601914743,0.1431876803128545,1.3543859649122807,0.5263526554590484,0.45427464881466356,0.5459375272618975,Rectangular,Flexure
393,0.04735842514553841,0.11192361684462461,0.1036829492462989,4.0,0.1858771686293372,0.0271121384510969,0.0602358454613318,1.653645833333333,0.4710391434239153,0.34173325714428354,0.6582667428557164,Spiral,Flexure
215,0.06128612793531747,0.08457335318634451,0.05791403914660575,6.557377049180328,0.1253585566287307,0.0788459484654048,0.1396077719646652,0.8849557522123892,0.1852231555536475,0.5635624278652563,0.436719758741016,Rectangular,Flexure
412,0.03531797199578741,0.1577442693286114,0.15818469173386482,2.578248031496063,0.1517809851694915,0.0240772234034443,0.0,2.351851851851852,0.4583490248515089,0.5228471675225672,0.47740342089384896,Spiral,Flexure-Shear
97,0.04830815852672408,0.08478223263916379,0.0745295733507204,5.495081967213115,0.1865842841646672,0.0429284530899591,0.2707732248888257,2.2280701754385963,0.4259538041626897,0.47443524542521265,0.5255647545747874,Rectangular,Flexure
81,0.034954897724409566,0.06351380113341801,0.056616726139541176,2.8721311475409834,0.3611237456995292,0.0331614479151539,0.0712590903488228,3.35978835978836,1.0930896313803085,0.45288224047383674,0.5471177595261633,Rectangular,Flexure-Shear
311,0.06930539749296748,0.08001348007250728,0.03075319302264602,3.0,0.3582622950819672,0.1212577512007293,0.100189341225062,0.4838709677419354,0.3429884575496945,0.3840848159863657,0.6159151840136343,Spiral,Flexure
96,0.05222456506397803,0.07610869360259573,0.04982330395963276,5.495081967213115,0.1913993624656909,0.0735869484928307,0.277760921014989,1.3333333333333333,0.3153005960815045,0.5033511930579693,0.4980666624553784,Rectangular,Flexure
78,0.04984732788484379,0.057398880711383805,0.02965990521226343,2.8721311475409834,0.3611237456995292,0.0331614479151539,0.1142713340728871,3.35978835978836,1.0992997381814311,0.4748226315675921,0.5251773684324078,Rectangular,Flexure-Shear
243,0.044600538314267496,0.0528533441772582,0.029378401090256693,2.5,0.2982027419539741,0.0648371249783425,0.3,1.6666666666666667,0.7993310527353875,0.4284241184343677,0.5715758815656323,Rectangular,Flexure
310,0.06243788774624282,0.07209382919630496,0.04765792189479954,6.0,0.3441574803149606,0.0613130043400603,0.0962448789721067,0.8641975308641974,0.2977465407273655,0.3458860814581174,0.6541139185418826,Spiral,Flexure
404,0.09774148702858183,0.12093222442087603,0.11433038706752705,5.333333333333333,0.3426144712371728,0.0516856051006167,0.041195255607312,1.336842105263158,0.3686141345804258,0.5342123556279685,0.4657876443720315,Spiral,Flexure
239,0.03878341009137903,0.09582265216553795,0.09069076012940601,2.25,0.3169056046406522,0.0842036067725408,0.0820401195084465,1.5132275132275137,0.6739620395317363,0.4072880434968116,0.5927119565031884,Rectangular,Flexure
80,0.06129455073215645,0.07996633823855288,0.05217173418858336,2.8721311475409834,0.3611237456995292,0.0331614479151539,0.0712590903488228,3.35978835978836,1.0930896313803085,0.43480408382924535,0.5651959161707546,Rectangular,Shear
307,0.06123744281207861,0.19635881586928255,0.19443836237972278,3.006578947368421,0.2770698269909468,0.0885409955126088,0.0714971670003689,0.4712041884816753,0.3528457468796157,0.4906271447298055,0.5110170287910036,Spiral,Flexure
79,0.029214903959061917,0.038826829950873235,0.026822287360749184,2.8721311475409834,0.3611237456995292,0.0331614479151539,0.1142713340728871,3.35978835978836,1.0992997381814311,0.45386664614859085,0.546133353851409,Rectangular,Flexure-Shear
242,0.0480093060561381,0.13496306854736698,0.13203520797234725,2.25,0.3030138521084592,0.0805124897633335,0.0784438402971174,1.5132275132275137,0.6706621734965332,0.4182984665040916,0.5817015334959084,Rectangular,Flexure
54,0.04675870020311045,0.12658015703149322,0.12371104328361499,1.25,0.3344214280867094,0.0170031195651902,0.1844087273856666,2.6791666666666667,2.2534107849112868,0.41609731024214675,0.5839026897578533,Rectangular,Shear
