% gamma kappa eta1 sig lam mup sigp rsmax alpha alpha1 alpha2 betam1 n kappa_k res_min
1.18106 0.92601 1.41252 0.55100 0.02888 2.46064 0.41700 0.53450 0.00979 3.90306 0.39239 0.03163 3.50800 2.51496 0.05273
1.74168 1.05561 1.67768 0.42506 0.59611 0.32746 0.71871 0.71766 0.00437 3.52974 0.03528 0.00604 1.69697 0.81686 0.08974
1.44815 1.06844 1.35310 0.33881 0.35513 0.67187 0.91657 0.54195 0.00016 4.92341 1.82466 0.00566 1.47608 1.53802 0.08741
0.65541 0.91446 1.15017 0.42711 0.34616 6.63477 4.91932 0.74512 0.00440 3.39267 0.30954 0.00228 5.01058 0.83014 0.04891
0.91433 1.02391 1.92966 0.57232 0.74553 1.72943 0.12379 0.83408 0.00004 4.61234 1.95188 0.01053 1.77274 0.86094 0.06771
1.73930 0.97657 1.49107 0.40595 0.57538 1.29353 0.75638 0.81055 0.00060 5.42747 0.57931 0.00029 5.61080 0.41887 0.03237
0.51746 0.94211 1.46352 0.78232 0.56176 5.85775 8.37095 0.05984 0.00662 5.36881 0.91618 0.03139 1.31693 1.20286 0.08849
1.40906 1.00249 0.86134 0.61691 0.12588 1.07396 1.20085 0.61036 0.00308 3.54896 0.76437 0.01066 1.44629 1.79699 0.05289
1.76882 0.99574 1.79776 0.44210 0.51461 0.68442 1.32527 0.95680 0.00108 3.06526 1.16466 0.00447 6.21926 0.42351 0.05154
1.19133 0.99300 0.88555 0.62077 0.47672 1.58181 0.76895 0.66159 0.00218 1.36806 1.02804 0.00144 3.61596 1.09234 0.03367
0.26529 1.05907 1.85612 0.25017 0.10517 2.88364 2.36846 0.71813 0.00015 3.77496 0.07673 0.00094 1.69697 1.60134 0.03549
1.16819 0.98183 1.55036 0.61426 0.44434 1.13330 0.67352 0.70553 0.02787 2.31361 1.17638 0.02680 8.00862 0.29101 0.02541
1.29106 1.06421 1.22250 0.54347 0.49418 1.38303 0.11287 0.75468 0.00147 4.02654 0.79872 0.01305 2.99691 0.74897 0.06345
0.20239 0.98345 1.49283 0.06478 0.16837 9.25041 1.55952 0.91434 0.04154 6.28857 0.93332 0.00695 3.88981 0.65178 0.09161
1.32852 0.90987 0.97288 0.68117 0.54435 0.80528 1.86696 0.91153 0.01063 1.51557 0.45711 0.00335 8.72887 0.69476 0.03565
0.96552 1.08557 0.55059 0.33942 0.42883 1.30767 0.47894 0.60757 0.00495 7.95257 1.68125 0.01629 4.18651 0.43928 0.07077
0.84187 1.09021 1.00970 0.58218 0.57030 2.02760 2.07714 0.46133 0.00733 1.01918 0.61926 0.01738 1.83947 2.71776 0.03363
0.27727 0.92413 1.74608 0.40193 0.24915 3.52623 6.70547 0.77650 0.00006 3.01970 0.03242 0.00040 4.86310 4.34237 0.10097
