eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
1.14046	0.59115	1.01502	0.40055	0.68145	1.26869	1.84687	0.83247	2.42413	0.00000	1.99670	1.03326	0.00409	0.44825
1.14893	1.78030	1.02091	0.34871	0.51805	1.49013	2.72328	0.94899	2.62291	0.00271	4.64433	0.04974	0.00216	1.72976
1.30523	0.95473	0.98920	0.18234	0.35953	0.63814	1.33299	0.76257	5.20905	0.00261	4.28267	0.95493	0.00487	0.34663
1.28154	0.52560	0.98259	0.44533	0.77898	0.82919	1.03618	0.97575	5.60466	0.01200	5.17971	1.67705	0.00437	1.87799
1.40187	1.27747	0.98285	0.47160	0.57370	1.17619	1.06450	0.78560	2.35118	0.00513	9.04592	1.45880	0.01002	1.78442
0.64011	1.15408	0.99214	0.28346	0.34299	3.04815	3.04573	0.74203	2.69612	0.00217	5.65675	0.20582	0.00550	0.37896
0.73333	0.62236	1.01398	0.39267	0.54362	0.63062	0.56495	0.66324	1.74951	0.02299	9.69593	0.37833	0.00411	0.84929
1.65368	1.33481	0.97519	0.18567	0.58545	1.43421	2.01886	0.75540	3.60778	0.00452	3.55280	1.05490	0.00568	0.72031
1.73505	0.51772	0.99278	0.55804	0.83215	1.12822	0.89102	0.92507	2.09216	0.02119	3.15999	0.72189	0.00471	1.67147
0.51975	1.07314	1.00621	0.37353	0.34198	0.33444	0.67944	0.98344	2.98756	0.00098	7.66198	0.65785	0.00084	0.33850
1.29721	0.61957	0.97986	0.64854	0.27600	1.15401	1.11042	0.74149	5.92387	0.02087	2.32461	0.52669	0.00351	0.97195
1.27878	1.56930	1.00520	0.39248	0.82468	1.62752	0.99480	0.78574	7.89224	0.00425	5.81166	0.10549	0.00172	0.41211
1.80816	5.63303	0.98380	0.25292	0.50106	0.70660	1.72314	0.75617	4.68020	0.00560	6.57900	1.56822	0.00290	0.56271
0.91452	0.67043	0.99296	0.51537	0.93900	2.11771	0.92248	0.47999	1.89511	0.01941	4.71286	0.79098	0.00728	0.22546
1.13889	0.61518	0.99048	0.12739	0.60769	0.41976	1.38574	0.96663	1.30324	0.00537	7.79906	0.41486	0.00546	0.59797
0.89593	1.99741	1.02406	0.74136	0.44034	0.58529	0.20360	0.72609	3.42186	0.01618	6.04853	1.35214	0.00625	1.84672
1.60270	1.36496	0.95107	0.39924	0.43912	1.81697	0.53878	0.38078	2.95358	0.00609	5.57281	0.31201	0.00542	1.42793
1.26877	0.56034	0.98981	0.42216	0.50889	0.28996	0.65548	0.53857	6.10890	0.01320	0.89072	0.21707	0.00458	1.92180
