,id,name,type,testcf,pd,ft,axl,w,d,l,fpc,fyl,fsul,fyt,fsut,dlb,dlb_c,nlb,cc_per,nib_per,cc_par,nib_par,nsl,dtb_rcs,s_rcs,ar,lrr,srr,alr,sdr,smr
18,19,"Tanaka and Park 1990, No. 2",Rectangular,Double Ended,Shear provided,0,819.0,400.0,400.0,1600.0,25.6,474.0,721.0,333.0,481.0,20.0,20.0,8.0,40.0,1.0,40.0,1.0,3.0,12.0,80.0,0.25,0.29084275738311755,0.137920212638798,0.199951171875,0.9,0.25669734622631224
19,20,"Tanaka and Park 1990, No. 3",Rectangular,Double Ended,Shear provided,0,819.0,400.0,400.0,1600.0,25.6,474.0,721.0,333.0,481.0,20.0,20.0,8.0,40.0,1.0,40.0,1.0,3.0,12.0,80.0,0.25,0.29084275738311755,0.137920212638798,0.199951171875,0.9,0.25669734622631224
20,21,"Tanaka and Park 1990, No. 4",Rectangular,Double Ended,Shear provided,0,819.0,400.0,400.0,1600.0,25.6,474.0,721.0,333.0,481.0,20.0,20.0,8.0,40.0,1.0,40.0,1.0,3.0,12.0,80.0,0.25,0.29084275738311755,0.137920212638798,0.199951171875,0.9,0.25669734622631224
21,22,"Tanaka and Park 1990, No. 5",Rectangular,Cantilever,Shear provided,0,968.0,550.0,550.0,1650.0,32.0,511.0,675.0,325.0,429.0,20.0,20.0,12.0,40.0,2.0,40.0,2.0,4.0,12.0,110.0,0.3333333333333333,0.19901080735343604,0.07594345877479458,0.1,0.6545454545454545,0.3375486024803053
22,23,"Tanaka and Park 1990, No. 6",Rectangular,Cantilever,Shear provided,0,968.0,550.0,550.0,1650.0,32.0,511.0,675.0,325.0,429.0,20.0,20.0,12.0,40.0,2.0,40.0,2.0,4.0,12.0,110.0,0.3333333333333333,0.19901080735343604,0.07594345877479458,0.1,0.6545454545454545,0.3375486024803053
23,24,"Tanaka and Park 1990, No. 7",Rectangular,Cantilever,Shear provided,0,2913.0,550.0,550.0,1650.0,32.1,511.0,675.0,325.0,429.0,20.0,20.0,12.0,40.0,2.0,40.0,2.0,4.0,12.0,90.0,0.3333333333333333,0.19839083599096427,0.09253062474464414,0.2999922762029814,0.8,0.4360469609102643
24,25,"Tanaka and Park 1990, No. 8",Rectangular,Cantilever,Shear provided,0,2913.0,550.0,550.0,1650.0,32.1,511.0,675.0,325.0,429.0,20.0,20.0,12.0,40.0,2.0,40.0,2.0,4.0,12.0,90.0,0.3333333333333333,0.19839083599096427,0.09253062474464414,0.2999922762029814,0.8,0.4360469609102643
25,26,"Park and Paulay 1990, No. 9",Rectangular,Cantilever,Shear provided,0,646.0,400.0,600.0,1784.0,26.9,432.0,0.0,305.0,0.0,24.0,24.0,10.0,24.0,1.0,24.0,2.0,3.0,12.0,80.0,0.336322869955157,0.3027140579221094,0.1202184735237544,0.10006195786864931,0.9,0.3023268160129571
26,27,"Arakawa et al. 1982, No. 102",Rectangular,Double Cantilever,Feff provided,0,429.0,250.0,250.0,375.0,20.6,392.8,0.0,323.0,0.0,9.5,9.5,6.0,0.0,1.0,0.0,0.0,3.0,5.5,32.0,0.6666666666666666,0.1297515587048026,0.1396953113777115,0.3332038834951456,1.03125,0.45991944306134824
27,28,"Nagasaka 1982, HPRC10-63",Rectangular,Double Cantilever,Shear provided,2,147.0,200.0,200.0,300.0,21.6,371.0,541.0,344.0,434.0,12.7,12.7,4.0,12.0,0.0,12.0,0.0,2.0,5.5,35.0,0.6666666666666666,0.21757925317728197,0.10810652497769638,0.1701388888888889,0.9428571428571428,0.5004793428693395
