eta1,kappa_k,kappa,sig,lam,mup,sigp,rsmax,n,alpha,alpha1,alpha2,betam1,gamma,UniqueId,Name,PeakDrift,FailureType,ar,lrr,srr,alr,sdr,smr,Type
1.389756744577197,0.977672229674734,1.0006294434601364,0.5263461414108824,0.623167774267249,2.668564190042638,1.3968045871253647,0.7346719842870509,7.145516550377273,0.010003894970466465,1.1598945698657261,1.6914752505615378,0.008341378840168334,0.8397805363815347,222,"Paultre et al., 2001, No. 1206040",0.081175,Flexure,6.557377049180328,0.1048966533891443,0.0747353491454496,0.4134537862030472,0.8849557522123892,0.2588162222221008,Rectangular
1.5049305209918642,2.835919759955032,0.9454689518645193,0.2779031225008286,0.8569767460645257,6.966566178599286,4.094144122821699,0.3016382358025632,1.7521419895710961,0.008886806777837687,4.569455721028568,0.08648876765707636,0.001916999057592468,0.5523483082933481,367,"Kowalsky et al. 1996, FL2",0.058447249569794565,Flexure,8.0,0.473282446043651,0.0496267941278161,0.2964944957917003,1.3333333333333333,0.3671320710690278,Spiral
1.0917585171189634,0.1046488431452457,0.9387960519106985,0.4687617821102747,0.48336116792829154,1.8148317856576432,1.8404906374644594,0.5554049692787003,1.4393740964756692,0.01806698994388081,4.2691029910947265,0.7936801800499943,0.002249886650662121,0.3304626253366333,275,"Ang et al. 1985, No. 9",0.06556664546145569,Flexure,2.0,0.4995121951219512,0.0610804425332092,0.1999141358349417,0.8333333333333334,0.9680726335871248,Spiral
1.4004754137419897,0.8620369804729209,1.0857920253007367,0.39450780720712353,0.5429700021094341,8.616622816246464,8.545100726564971,0.9271750799749842,6.546849881934298,0.0004985902203180521,1.2609765660235555,1.550322320085047,0.0027564844655860767,0.4560662197988379,330,"Arakawa et al. 1987, No. 13",0.03352812257858618,Shear,1.090909090909091,0.5348008799571913,0.0272202874262639,0.2604164358100339,2.7777777777777777,2.531022062264917,Spiral
1.8972800653044004,1.0278570195942698,0.9859712428836396,0.501202809415411,0.6467308127920092,7.2907009446168,0.4137910411244423,0.40124294593876597,7.526213785378491,0.002171363176735469,2.814608988588727,0.5872045000893906,0.0014914991710897954,0.5529126615579771,019,"Tanaka and Park 1990, No. 2",0.08083125000000001,Flexure,4.0,0.2908427573831176,0.137920212638798,0.199951171875,1.1111111111111112,0.3201972645977145,Rectangular
1.4889315456177243,0.22928358308969843,1.0047110866601925,0.4109688438318246,0.46112179538712383,3.044019469014027,2.2219171471523445,0.5571328756583701,3.9733486280008146,0.0009532622379463569,0.9879844996483742,1.495078283462972,0.004726821011510639,0.5516742443102683,326,"Arakawa et al. 1987, No. 9",0.03383648966635843,Shear,1.090909090909091,0.4734861293888509,0.0688556861192118,0.115279887189792,0.9722222222222222,1.606665214450584,Spiral
1.5995515444395183,1.020921866663174,1.0089787537995618,0.05035674438620552,0.27397638008633435,7.087411190889526,2.7955952078996407,0.591068172219026,2.309762517415851,0.009304877680650084,2.0765863917285863,1.4662458415003576,0.004359887501122723,0.36536077021850194,234,"Pujol 2002, No. 10-3-2.25S",0.032181393992417616,Flexure,2.25,0.4036498394875461,0.1072520392832728,0.1044963566001746,1.5132275132275137,0.6903085574650586,Rectangular
1.5653691255224338,0.16936069177394897,1.02054949113054,0.30163052992910994,0.9114736237406806,5.219148347026215,4.474472518348822,0.8260657351358158,2.4320690199893407,0.020472634772134197,8.822035813327094,0.0395738779336966,0.0062723870182059376,0.19162503598715913,408,"Hamilton, 2002, UCI1",0.06150502773215095,Flexure,6.263998250218723,0.2677649926006922,0.0175136858643677,0.1938085955349311,5.350877192982456,0.4887596963867316,Spiral
1.3319386825375028,0.9876615001039527,1.0248513798638326,0.7860572876861865,0.3630324318478367,0.708133744450059,4.056082673199112,0.6704965415865975,1.7662007210569968,0.0004050041287969111,4.610879777317281,0.04022946816490547,0.006194252076373662,0.7060197324590848,058,"Muguruma et al. 1989, AL-2",0.02884,Flexure,2.5,0.1771998033670012,0.0619122603563926,0.6289381563593932,0.9722222222222222,0.7103550446199894,Rectangular
0.7930693021584568,1.0080879698733225,0.970897122533059,0.3233383768549687,0.17771592676550851,5.800700239003209,7.46967675810554,0.45922433118559103,1.8478328650783595,0.004878824633031374,5.894342953647994,0.09166261641571949,0.0015564844804139694,0.7716262429624576,166,"Saatcioglu and Grira 1999, BG-2",0.05289823100303951,Flexure,4.7,0.2613471694280612,0.1340209366007515,0.4278511404561825,1.3333333333333333,0.3052704198528541,Rectangular
1.1783225048385737,1.019956147539488,0.9873680581528897,0.4597599275942219,0.5759500052530095,1.7080197261417016,1.2534280052318754,0.9927595834197116,3.348514066776855,0.0037063058116065424,2.9794650726551013,1.207444741350729,0.0002487239102564945,0.47369590021863806,189,"Mo and Wang 2000,C1-3",0.07893750000000001,Flexure,3.5,0.4049246617306895,0.1097604766426049,0.2155172413793103,1.3227513227513228,0.5312482394683444,Rectangular
1.7869288213331174,0.9834595451447906,1.0192282408960955,0.5211492885800533,0.16707366774477667,2.377863935350456,6.650730232719336,0.7826832068947639,1.8798034641300108,0.0008473854462982058,1.9213143309546599,0.22060295165963406,0.0009714815819616765,0.33707360973338396,023,"Tanaka and Park 1990, No. 6",0.06807272727272727,Flexure,3.0,0.199010807353436,0.0759434587747945,0.1,1.5277777777777777,0.4246670963405309,Rectangular
