name,test_or_train,type,rmse_cal,rmse_sur,energy_cal,energy_sur,stiff_cal,stiff_sur,a1,a2,a3,a4,a5,a6
"Kowalsky et al. 1996, FL2",train,Flexure,0.002390984494849264,0.0027651863481129853,0.008562378026336416,0.017652928326278204,0.9597599522052335,0.9653280872563139,0.125,0.473282446043651,0.0069762288108039,0.2964944957917003,0.75,0.3310142673858388
"Kowalsky et al. 1996, FL3",test,Flexure,0.0029206091445454258,0.0041006148685495914,0.005491878394069441,0.005390162227471937,1.0298640240413688,1.0246355047780038,0.125,0.4330534381299407,0.0028449587504885,0.2712924636494057,0.7529411764705883,0.4440030903998979
"Lehman et al. 1998, 415",train,Flexure,0.0022221353656710625,0.002187283997950353,0.006363669030632927,0.01396922851041862,0.9159005502606158,0.968848573894414,0.125,0.4487600395128919,0.0066147661781198,0.281132086683322,0.75,0.333086854485856
"Lehman et al. 1998, 430",test,Flexure,0.001599479792395796,0.0026563541314589905,0.009023259837475432,0.03275798368661971,0.8876391744826183,1.0857241598629388,0.25,0.1115263011776023,0.002509802340108,0.0722675411254063,1.207547169811321,0.138536917457371
"Calderone et al. 2000, 328",train,Flexure,0.0010390474448027022,0.001463672288715255,0.006568638175001791,0.032440940466623436,0.9390772951405113,1.018870586457973,0.25,0.4461052047104094,0.002509802340108,0.0722675411254063,1.207547169811321,0.3279441681328942
"Sritharan et al. 1995, IC1",train,Flexure,0.002314084768278456,0.0034364431941891664,0.010718510129025494,0.06920974109685782,0.8791713201180963,0.9913298343065728,0.1,0.3479286155432214,0.0023609081163352,0.0905565245626531,1.5118110236220474,0.1238963540005819
"Sritharan et al. 1995, IC3",train,Flexure,0.0015747666277943961,0.00327424092226971,0.00967060749251901,0.04970370019691329,0.9817749183459079,1.0684409968158861,0.3333333333333333,0.2481609248554913,0.0038610417696277,0.0408875897474361,0.5876288659793815,0.3820640293913762
"Saatcioglu and Baingo 1999, RC1",train,Flexure,0.0028009424082596542,0.00261924314290604,0.011266967371025288,0.01698020641433373,0.7362909450145949,0.7538679976450419,0.3333333333333333,0.2677432121212121,0.0040764218258762,0.0428700183412512,0.890625,0.3075477037825754
"Saatcioglu and Baingo 1999, RC2",train,Flexure,0.0018070602686189878,0.002322490066075546,0.01138503902939188,0.024847849397585525,0.7347425399215721,0.7172534102271759,0.1519756838905775,0.2112275692307692,0.0174960336103004,0.3134128110117324,0.9,0.1574754177604063
"Saatcioglu and Baingo 1999, RC3",train,Flexure,0.0022880969626154295,0.0026338792428841555,0.01691742316778108,0.028630699244156385,0.8940675564046163,0.7986260156365155,0.1519756838905775,0.2112275692307692,0.0172344800405787,0.3134128110117324,1.3560000000000003,0.1640196370836531
"Saatcioglu and Baingo 1999, RC4",train,Flexure,0.002484598869474945,0.002808755575607077,0.008611442863796238,0.018638688433879544,0.7079089918881114,0.7613369930451669,0.1519756838905775,0.1525532444444444,0.0126360242741058,0.4187543391573424,0.9,0.2135472115754018
"Saatcioglu and Baingo 1999, RC6",train,Flexure,0.0022869438957976293,0.0029168189102654857,0.00478265295894112,0.023687643238354827,0.8341234003406843,0.8613330623727242,0.1519756838905775,0.1525532444444444,0.0083687290894498,0.4187543391573424,0.96,0.2942888386664009
"Saatcioglu and Baingo 1999, RC7",train,Flexure,0.002035365842550164,0.002217705355424293,0.0376400861226655,0.03326662283740251,0.7586327001736182,0.7282081412333472,0.1519756838905775,0.1525532444444444,0.0124471244737513,0.4187543391573424,0.6780000000000002,0.3695593849924295
"Saatcioglu and Baingo 1999, RC8",train,Flexure,0.0025937692872068023,0.006705974674016731,0.012468152829435288,0.0867548218323209,0.817386278162687,0.44808777897331253,0.1519756838905775,0.1525532444444444,0.0126360242741058,0.2093771695786712,0.9,0.1605910078561415
"Saatcioglu and Baingo 1999, RC9",train,Flexure,0.0018222021868292886,0.0022399446529936737,0.011343705679066327,0.01984484093823205,0.9145781357453733,0.8802703697967755,0.1519756838905775,0.1525532444444444,0.0126360242741058,0.4187543391573424,0.9,0.2135472115754018
"Henry 1998, 415p",train,Flexure,0.0014508761302459655,0.0017771182773942376,0.004163089727343809,0.01805251856455833,0.9237119798356603,1.0182171879114486,0.3333333333333333,0.0856472301179896,0.000807184941134,0.1066340251396201,0.2647058823529412,0.5410096357620993
"Henry 1998, 415s",train,Flexure,0.001389543553170747,0.0019346905423183985,0.0028639671261823487,0.015102820444511968,1.072916434779646,1.13654368591809,0.25,0.1858771686293372,0.00209150195009,0.1204716909226637,1.207547169811321,0.2502866200044551
"Chai, Priestley, and Seible 1991, Test 3",train,Flexure,0.0025571164125018702,0.004373037285246919,0.008522857131884935,0.02644160250460531,0.9651487117473205,0.9263307000616394,0.25,0.1858771686293372,0.00209150195009,0.0602358454613318,0.604724409448819,0.3102929449880582
"Graff, 2001,C6",train,Flexure,0.0014404092369414813,0.002218824760613241,0.009125560625343176,0.04182969482045514,0.9279275992118142,0.8823351688971006,0.2128524257048514,0.1586245943791223,0.0062902593934747,0.1028987116985612,1.1811023622047243,0.2419488570260934
"Graff, 2001,C7",test,Flexure,0.0018541683177829523,0.0016698646115415325,0.020686984738636952,0.03253070957631057,0.8418374835100316,0.9243063120845981,0.2128524257048514,0.163271043034654,0.0062902593934747,0.1028987116985612,1.1811023622047243,0.2452069227785667
"Graff, 2001,C8",train,Flexure,0.0013961717067074108,0.0017059053673430318,0.02003518346363118,0.0394484259244624,0.9349290501693724,0.9213843483804324,0.2128524257048514,0.163271043034654,0.0062902593934747,0.1028987116985612,1.1811023622047243,0.2452069227785667
"Hamilton, 2002, UCI1",train,Flexure,0.013359676201850286,0.002666019757719536,0.10423393816147018,0.08117406986546577,7.640183617028868e-12,0.7387388503712672,0.1596424456161178,0.2677649926006922,0.0107105997040276,0.1938085955349311,0.1868852459016393,0.4639397982814656
"Hamilton, 2002, UCI5",train,Flexure-Shear,0.0016822885069581938,0.002380564306346462,0.003899882478694137,0.004825473635302122,0.9749501066057288,0.8696938059057018,0.3878602786791372,0.1806499909942363,0.0027140240184668,0.0,0.1575262543757292,0.4111093133546804
"McDaniel, 1997, S1",train,Shear,0.0009484400015561073,0.0009026473740041592,0.0054720289900203195,0.0050120757232741606,0.9730904667154312,0.9801833187632032,0.2191780821917808,0.1509282830056179,0.0027763101734626,0.0,0.8490566037735849,0.109021429281898
"McDaniel, 1997, S1-2",train,Shear,0.001351368925855797,0.0013749679332586123,0.002543913037656512,0.0034838450285982593,0.9132617995934329,0.917108362381311,0.5,0.2072878831160347,0.0004918205163997,0.0021615325863471,0.2893700787401575,0.5353114254661003
"McDaniel, 1997, S2",test,Shear,0.0017023078684015578,0.0017468731511155185,0.0029938569338539504,0.001847166405947524,0.9813068862165457,1.029450889655131,0.5,0.2304917506290236,0.0005468750518176,0.0024034951892964,0.2893700787401575,0.5610337396339302
