,id,name,use
123,393,"Henry 1998, 415s",1
124,394,"Chai, Priestley, and Seible 1991, Test 3",1
125,395,"Soderstrom 2001,C1",1
126,396,"Soderstrom 2001,C2",1
127,397,"Soderstrom 2001,C3",1
128,398,"Soderstrom 2001,C4",1
129,399,"Graff, 2001,C5",1
130,400,"Graff, 2001,C6",1
131,401,"Graff, 2001,C7",1
132,402,"Graff, 2001,C8",1
133,404,"Kowalsky and Moyer, 2001, 2",0
134,407,"Coffman et al. 1993, Column 1",0
135,408,"Hamilton, 2002, UCI1",1
136,409,"Hamilton, 2002, UCI2",0
137,410,"Hamilton, 2002, UCI3",0
138,411,"Hamilton, 2002, UCI4",0
139,412,"Hamilton, 2002, UCI5",1
140,413,"Hamilton, 2002, UCI6",0
141,414,"McDaniel, 1997, S1",1
142,415,"McDaniel, 1997, S1-2",1
143,416,"McDaniel, 1997, S2",1
