UniqueId,Name,TestOrTrain,Type,RMSECal,RMSESurr,EnergyCal,EnergySurr,StiffCal,StiffSur,a1,a2,a3,a4,a5,a6
112,"Galeota et al. 1996, AA4",Train,Flexure,0.0007943310051626761,0.0009621146732757697,0.0015111695127425888,0.0043460465021840184,0.9615780114610233,1.044138639393784,4.5600000000000005,0.0810530904626166,0.0288188766089303,0.2,3.125,0.4785475406271931
060,"Muguruma et al. 1989, BL-1",Train,Flexure,0.0009808897623271588,0.00116009274307288,0.005188682729463686,0.01440057699029614,0.9140777955794037,1.03135844550112,2.5,0.1311400962741969,0.0458193498492474,0.2538860103626943,0.9722222222222222,0.7361143191322704
216,"Paultre and Legeron, 2000, No. 1006025",Train,Flexure,0.0008467006510688271,0.0013322222542756369,0.019765198658304544,0.011450390886355969,0.9475811068214423,0.9186854516190578,6.557377049180328,0.118368521826517,0.0780853766152562,0.2765221463994656,0.8849557522123892,0.2297860682653917
299,"Petrovski and Ristic 1984, M1E1",Train,Flexure,0.0018571066147622113,0.0017560218902965706,0.02383597796212651,0.02230143556669964,0.7102966345384799,1.0642668136908555,2.0,0.4108108108108108,0.0530674434728005,0.3899296105751435,1.0,0.9287197968509692
156,"Nosho et al. 1996, No. 1",Train,Flexure,0.0012843834579513973,0.0012984097203819077,0.0026256096026155014,0.0031507757128211474,1.1210519373382088,0.8927264755014093,7.637795275590553,0.1019904935522901,0.0084387754544073,0.339495040428016,6.047619047619048,0.4518303279873847
096,"Atalay and Penzien 1975, No. 11",Train,Flexure,0.0009409936721524395,0.0009426082286240391,0.011902784806659138,0.009396207779563147,0.9421523067765287,1.0862246712629549,5.495081967213115,0.1913993624656909,0.0735869484928307,0.277760921014989,1.3333333333333333,0.3153005960815045
207,"Thomsen and Wallace 1994, C2",Train,Flexure,0.0011058585980464402,0.0013131884279211998,0.019130148149729357,0.02728915608110257,0.7543322807815727,0.7905961057453075,3.916666666666666,0.1557194120049234,0.1195007411637602,0.0998475336241706,1.3229166666666663,0.2230298805552627
003,"Gill et al. 1979, No. 3",Train,Flexure,0.0009501925994264953,0.0010532629176837481,0.00802004749776316,0.0017368738080845068,1.0589180181949456,1.0121576984150664,2.181818181818182,0.3144747106706088,0.1056984444198435,0.4200200818722484,1.25,0.6398198520675843
309,"NIST, Model N2",Train,Flexure,0.001106334594317035,0.0013608661173810307,0.009770316922324674,0.0027394733402161323,1.0332788337285272,1.1002019561137648,3.0,0.3627219917012447,0.1227671837882902,0.1014365114477805,0.4838709677419354,0.3431519847118773
117,"Galeota et al. 1996, CA1",Train,Flexure,0.0008932034439348406,0.0017607018941205705,0.005367874991554274,0.031640819382447394,1.0236485884361313,0.8497118822177242,4.5600000000000005,0.0810530904626166,0.0864566298267911,0.2,1.0416666666666667,0.2345321282928151
234,"Pujol 2002, No. 10-3-2.25S",Train,Flexure,0.009008386445189993,0.002392855896871786,0.2687843567024949,0.037747076956031134,6.302481710867992e-10,750147249.956604,2.25,0.4036498394875461,0.1072520392832728,0.1044963566001746,1.5132275132275137,0.6903085574650586
126,"Galeota et al. 1996, BB1",Train,Flexure,0.0005981756540833659,0.0007611192633977408,0.0025160360116598594,0.00940334340599333,1.003217335969441,0.9997433931196222,4.5600000000000005,0.3242123618504666,0.0432283149133955,0.2,2.083333333333333,0.7609223826520778
396,"Soderstrom 2001,C2",Train,Flexure,0.0011571961686672198,0.0022435915706103173,0.014066706178668457,0.030732272777800943,0.9292221867941268,1.4558659612028633,4.698090692124105,0.1591689802777077,0.0454676228693132,0.0,0.8912280701754386,0.2179589910292116
061,"Muguruma et al. 1989, BH-1",Train,Flexure,0.0006941187962201001,0.0008727965457915402,0.004911582432512954,0.009892809721934844,0.9205704514708284,0.9833955327310593,2.5,0.1311400962741969,0.1105440648159523,0.2538860103626943,0.9722222222222222,0.4237856196418204
343,"Arakawa et al. 1988, No. 26",Train,Flexure,0.0010917972225921802,0.0010943219050944424,0.010498159720179152,0.02801963928533264,0.9799976326346315,1.0989023189588607,1.6363636363636362,0.4964848484848485,0.0351719904798592,0.2437567985023213,2.083333333333333,1.4994851636495563
056,"Muguruma et al. 1989, AL-1",Train,Flexure,0.0007484851756137103,0.001520478738900328,0.008365899098889774,0.012596995007394878,1.0442205755641314,0.9243004651140814,2.5,0.1771998033670012,0.0619122603563926,0.3999416569428238,0.9722222222222222,0.7321473083720326
346,"Kunnath et al. 1997, A2",Train,Flexure,0.0009731015962521966,0.0010728706685867615,0.016945648992186695,0.011188791312814755,0.8299384134556445,1.085490089194353,1.6363636363636362,0.3570363196125908,0.02529317475186,0.1752924192619598,2.083333333333333,1.448818196759746
108,"Saatcioglu and Ozcebe 1989, U7",Train,Flexure,0.0009215786178923808,0.0009129290802394692,0.006513978826307439,0.003507979887159456,0.9530924405501678,1.034099005440696,2.857142857142857,0.3592035556302301,0.092457895035826,0.1255886970172684,1.692708333333333,0.6244439766092185
215,"Paultre and Legeron, 2000, No. 1006015",Train,Flexure,0.0009536585236851448,0.0012434444434679406,0.0171313552496938,0.023560017078456803,1.0217532216548373,1.0962930662175534,6.557377049180328,0.1253585566287307,0.0788459484654048,0.1396077719646652,0.8849557522123892,0.1852231555536475
002,"Gill et al. 1979, No. 2",Train,Flexure,0.0007651027209296645,0.0010224319778899572,0.0047747084120481655,0.0029225144740922145,1.000729445257893,0.9330640050670596,2.181818181818182,0.1625545605881891,0.0837095781636363,0.2139976843534155,1.0416666666666667,0.523924079239485
