UniqueId,Name,Type,FailureType,ar,lrr,srr,alr,sdr,smr,id
1,"Gill et al. 1979, No. 1",Rectangular,0,2.181818181818182,0.2913315501450661,0.09179978533216927,0.2597402597402597,1.3333333333333333,0.648662878889607,0
2,"Gill et al. 1979, No. 2",Rectangular,0,2.181818181818182,0.1625545605881891,0.08370957816363633,0.21399768435341557,1.0416666666666667,0.523924079239485,1
3,"Gill et al. 1979, No. 3",Rectangular,0,2.181818181818182,0.31447471067060884,0.10569844441984351,0.4200200818722484,1.25,0.6398198520675843,2
4,"Gill et al. 1979, No. 4",Rectangular,0,2.181818181818182,0.2863727152489799,0.16597300378408622,0.5999648320731493,0.8611111111111112,0.46736369884389084,3
5,"Ang et al. 1981, No. 3",Rectangular,0,4.0,0.2728393348643067,0.15335231936167124,0.3800317796610169,1.3888888888888888,0.31766694168310006,4
6,"Ang et al. 1981, No. 4",Rectangular,0,4.0,0.25756033211190554,0.09773843811168245,0.21,1.5,0.3870776191097969,5
7,"Soesianawati et al. 1986, No. 1",Rectangular,0,4.0,0.14463487210333395,0.03544177518622869,0.1,2.0238095238095237,0.48657968366014853,6
9,"Soesianawati et al. 1986, No. 3",Rectangular,0,4.0,0.15285276256375066,0.034985918187704516,0.3,2.1666666666666665,0.6354563073516205,8
10,"Soesianawati et al. 1986, No. 4",Rectangular,0,4.0,0.16813803882012573,0.019175412606352596,0.3,2.611111111111111,0.8301052803842227,9
11,"Zahn et al. 1986, No. 7",Rectangular,0,4.0,0.23445384043751388,0.11053593794908366,0.2230565371024735,1.95,0.34281203288036544,10
12,"Zahn et al. 1986, No. 8",Rectangular,0,4.0,0.16546243601949234,0.09920729267678924,0.3899625935162095,1.5333333333333334,0.3663062582104558,11
13,"Watson and Park 1989, No. 5",Rectangular,0,4.0,0.17433540501091457,0.05630460546271137,0.5,1.6875,0.545196676134645,12
266,"Potangaroa et al. 1979, No. 5B",Spiral,0,2.0,0.24182153846153845,0.10498338527240855,0.7367377536629959,0.5729166666666666,0.43928057258648545,12
14,"Watson and Park 1989, No. 6",Rectangular,0,4.0,0.1786937901361874,0.028568858193582177,0.5,2.6666666666666665,0.7481584131326527,13
15,"Watson and Park 1989, No. 7",Rectangular,0,4.0,0.17018456203446422,0.08639379797371931,0.7,1.3333333333333333,0.3994953698042017,14
16,"Watson and Park 1989, No. 8",Rectangular,0,4.0,0.18327568219096146,0.06226693131590559,0.7,1.6041666666666667,0.4898662098732854,15
269,"Ang et al. 1985, No. 3",Spiral,1,2.5,0.38755555555555554,0.021467549799530253,0.0,1.6666666666666667,1.2634613495159657,15
17,"Watson and Park 1989, No. 9",Rectangular,0,4.0,0.1786937901361874,0.16747105453367128,0.7,0.7222222222222222,0.25693094580931863,16
270,"Ang et al. 1985, No. 4",Spiral,2,2.0,0.4559477124183006,0.024577720304376473,0.0,2.75,1.4809772199367044,16
18,"Tanaka and Park 1990, No. 1",Rectangular,0,4.0,0.2908427573831176,0.137920212638798,0.199951171875,1.1111111111111112,0.3201972645977145,17
271,"Ang et al. 1985, No. 5",Spiral,1,2.0,0.4486173633440514,0.03727484531108147,0.0,1.1111111111111112,1.1927604459132382,17
19,"Tanaka and Park 1990, No. 2",Rectangular,0,4.0,0.2908427573831176,0.137920212638798,0.199951171875,1.1111111111111112,0.3201972645977145,18
272,"Ang et al. 1985, No. 6",Spiral,2,1.5,0.46352159468438536,0.025675474843292,0.0,1.6666666666666667,1.9599915318342487,18
273,"Ang et al. 1985, No. 7",Spiral,2,2.0,0.4859661016949153,0.022284008907242855,0.0,2.2222222222222223,1.6281066926005299,19
20,"Tanaka and Park 1990, No. 3",Rectangular,0,4.0,0.2908427573831176,0.137920212638798,0.199951171875,1.1111111111111112,0.3201972645977145,19
21,"Tanaka and Park 1990, No. 4",Rectangular,0,4.0,0.2908427573831176,0.137920212638798,0.199951171875,1.1111111111111112,0.3201972645977145,20
274,"Ang et al. 1985, No. 8",Spiral,1,2.0,0.4995121951219512,0.06108044253320922,0.19991413583494172,0.8333333333333334,0.9680726335871249,20
22,"Tanaka and Park 1990, No. 5",Rectangular,0,3.0,0.19901080735343604,0.07594345877479458,0.1,1.5277777777777777,0.4246670963405309,21
275,"Ang et al. 1985, No. 9",Spiral,0,2.5,0.4794648829431438,0.05862905353522089,0.1998751877291194,0.8333333333333334,0.8566921589593827,21
23,"Tanaka and Park 1990, No. 6",Rectangular,0,3.0,0.19901080735343604,0.07594345877479458,0.1,1.5277777777777777,0.4246670963405309,22
276,"Ang et al. 1985, No. 10",Spiral,1,2.0,0.4594871794871795,0.05014465197076016,0.19996390285904797,1.6666666666666667,1.0172615127664126,22
24,"Tanaka and Park 1990, No. 7",Rectangular,0,3.0,0.19839083599096427,0.09253062474464414,0.2999922762029814,1.25,0.46631047512654,23
277,"Ang et al. 1985, No. 11",Spiral,1,2.0,0.4794648829431438,0.029314526767610444,0.1998751877291194,1.6666666666666667,1.2932679600492083,23
25,"Tanaka and Park 1990, No. 8",Rectangular,0,3.0,0.19839083599096427,0.09253062474464414,0.2999922762029814,1.25,0.46631047512654,24
