,UniqueId,name,type,testcf,pd,ft,axl,diam,l,fpc,fyl,fsul,fyt,fsut,dlb,nlb,cc,dsp,s,use,ar,lrr,srr,alr,sdr,smr
35,289,"Ang et al. 1985, No. 23",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,0.0,400.0,800.0,32.3,436.0,679.0,332.0,0,16.0,20.0,21.0,12.0,160.0,1,2.0,0.43195046439628487,0.03632770452370861,0.0,2.2222222222222223,1.1747270513412313
36,290,"Ang et al. 1985, No. 24",Spiral,Cantilever with Flexible Base,Feff computed,Flexure-Shear,0.0,400.0,800.0,33.1,436.0,679.0,310.0,0,16.0,20.0,20.0,10.0,110.0,1,2.0,0.42151057401812686,0.03343496713172329,0.0,1.8333333333333333,1.2050457226820501
37,291,"Ang et al. 1985, No. 25",Spiral,Cantilever with Flexible Base,Feff computed,Shear,0.0,400.0,600.0,32.8,296.0,457.0,0.0,0,16.0,20.0,0.0,0.0,0.0,1,1.5,0.2887804878048781,0.0,0.0,2.0,2.303491406410322
38,292,"Zahn et al. 1986, No. 5",Spiral,Double Ended,Feff computed,Flexure,555.0,400.0,1600.0,32.3,337.0,491.0,466.0,0,16.0,16.0,18.0,10.0,135.0,1,4.0,0.26709597523219814,0.04196715332452826,0.13673528392569959,2.25,0.5111847310819113
39,293,"Zahn et al. 1986, No. 6",Spiral,Double Ended,Feff computed,Flexure,2080.0,400.0,1600.0,27.0,337.0,491.0,466.0,0,16.0,16.0,18.0,10.0,75.0,1,4.0,0.3195259259259259,0.09036927015881752,0.6130412622798932,1.25,0.3761674710296161
40,294,"Watson and Park 1989, No 10",Spiral,Double Ended,Feff computed,Flexure,2652.0,400.0,1600.0,40.0,474.0,633.3,372.0,0,16.0,12.0,17.0,8.0,84.0,1,4.0,0.22751999999999997,0.027825534931795314,0.527598636349633,1.75,0.6682423237992285
41,295,"Watson and Park 1989, No 11",Spiral,Double Ended,Feff computed,Flexure,3620.0,400.0,1600.0,39.0,474.0,633.3,338.0,0,16.0,12.0,18.0,10.0,57.0,1,4.0,0.23335384615384613,0.05970863230506916,0.738642171785463,0.95,0.4121736351922188
42,296,"Wong et al. 1990, No. 1",Spiral,Cantilever,Feff computed,Flexure,907.0,400.0,800.0,38.0,423.0,577.0,300.0,0,16.0,20.0,20.0,10.0,60.0,1,2.0,0.3562105263157895,0.0516709318024637,0.18993885971624877,1.0,0.8646993989316731
44,298,"Wong et al. 1990, No. 3",Spiral,Cantilever,Feff computed,Flexure,1813.0,400.0,800.0,37.0,475.0,625.0,300.0,0,16.0,20.0,20.0,10.0,60.0,1,2.0,0.41081081081081083,0.05306744347280057,0.3899296105751435,1.0,0.9287197968509692
45,299,"Petrovski and Ristic 1984, M1E1",Spiral,Cantilever,Not defined in report,Flexure,145.0,307.0,1910.0,38.8,240.0,0.0,240.0,0,12.0,12.0,36.0,6.0,75.0,1,6.221498371335505,0.1134087342445483,0.015191555865439748,0.05048584671099866,2.0833333333333335,0.28018318179631035
46,300,"Petrovsky and Ristic 1984, M1E2",Spiral,Cantilever,Not defined in report,Flexure,254.0,307.0,1910.0,36.2,240.0,0.0,240.0,0,12.0,12.0,36.0,6.0,75.0,1,6.221498371335505,0.12155411294719538,0.016282662087819394,0.09478912488211733,2.0833333333333335,0.3157237110615077
47,301,"Petrovsky and Ristic 1984, M2E1",Spiral,Cantilever,Not defined in report,Flexure-Shear,145.0,307.0,900.0,35.9,240.0,0.0,240.0,0,12.0,12.0,36.0,6.0,75.0,1,2.931596091205212,0.12256988547878757,0.016418728901923738,0.05456409059573114,2.0833333333333335,0.5053963870467643
48,302,"Petrovsky and Ristic 1984, M2E2",Spiral,Cantilever,Not defined in report,Flexure-Shear,254.0,307.0,895.0,34.4,240.0,0.0,240.0,0,12.0,12.0,36.0,6.0,75.0,1,2.9153094462540716,0.1279145025781533,0.017134661848228552,0.09974902095153047,2.0833333333333335,0.5617823686781224
49,303,"Lim et al. 1990, Con1",Spiral,Cantilever,Feff provided,Flexure,151.0,152.0,1140.0,34.5,448.0,0.0,620.0,0,12.7,8.0,10.2,3.7,22.0,1,7.5,0.7252189971496247,0.11556588536309659,0.2412019391271849,0.9909909909909909,0.28910962317471556
50,304,"Lim et al. 1990, Con2",Spiral,Cantilever,Feff provided,Flexure,151.0,152.0,570.0,34.5,448.0,0.0,620.0,0,12.7,8.0,10.2,3.7,22.0,1,3.75,0.7252189971496247,0.11556588536309659,0.2412019391271849,0.9909909909909909,0.570570012718192
51,305,"Lim et al. 1990, Con3",Spiral,Cantilever,Feff provided,Flexure,220.0,152.0,570.0,34.5,448.0,0.0,620.0,0,12.7,8.0,10.2,3.7,22.0,1,3.75,0.7252189971496247,0.11556588536309659,0.35142004376146146,0.9909909909909909,0.5728223274780351
52,306,"NIST, Full Scale Flexure",Spiral,Cantilever,Feff computed,Flexure,4450.0,1520.0,9140.0,35.8,475.0,0.0,493.0,0,43.0,25.0,58.7,15.9,89.0,1,6.0131578947368425,0.26546075602763897,0.04042447829142903,0.06850147564560484,0.9329140461215932,0.3249960137095146
53,307,"NIST, Full Scale Shear",Spiral,Cantilever,Feff computed,Flexure,4450.0,1520.0,4570.0,34.3,475.0,0.0,435.0,0,43.0,25.0,60.3,19.1,54.0,1,3.0065789473684212,0.27706982699094684,0.08854099551260883,0.0714971670003689,0.47120418848167533,0.3528457468796157
55,309,"NIST, Model N2",Spiral,Cantilever,Feff computed,Flexure,239.0,250.0,750.0,23.1,446.0,0.0,441.0,0,7.0,25.0,9.9,3.1,9.0,1,3.0,0.3784242424242424,0.12808178048908206,0.2107735073189291,0.48387096774193544,0.3733243789416683
56,310,"NIST, Model N3",Spiral,Cantilever,Feff computed,Flexure,120.0,250.0,1500.0,25.4,446.0,0.0,476.0,0,7.0,25.0,9.7,2.7,14.0,1,6.0,0.34415748031496063,0.06131300434006034,0.09624487897210679,0.8641975308641974,0.2977465407273655
57,311,"NIST, Model N4",Spiral,Cantilever,Feff computed,Flexure,120.0,250.0,750.0,24.4,446.0,0.0,441.0,0,7.0,25.0,9.9,3.1,9.0,1,3.0,0.3582622950819672,0.12125775120072935,0.100189341225062,0.48387096774193544,0.3429884575496945
58,312,"NIST, Model N5",Spiral,Cantilever,Feff computed,Flexure,239.0,250.0,750.0,24.3,446.0,0.0,441.0,0,7.0,25.0,9.9,3.1,9.0,1,3.0,0.3597366255144033,0.12175675429209036,0.20036493905626593,0.48387096774193544,0.3737755729378513
59,313,"NIST, Model N6",Spiral,Cantilever,Feff computed,Flexure,120.0,250.0,1500.0,23.3,446.0,0.0,476.0,0,7.0,25.0,9.7,2.7,14.0,1,6.0,0.37517596566523603,0.06683906910890697,0.10491931012409926,0.8641975308641974,0.29938064587615554
60,314,"BRI No. 2 (Japan), spbaa1",Spiral,Double Cantilever,Feff computed,Flexure,184.0,250.0,375.0,26.5,399.0,0.0,355.0,0,9.6,4.0,40.0,8.9,50.0,1,1.5,0.08880746264150945,0.13334365539962395,0.14144970640378562,0.9363295880149812,0.26749878147282546
61,315,"BRI No. 3 (Japan), ws21bs",Spiral,Double Cantilever,Feff computed,Flexure-Shear,322.0,250.0,250.0,26.5,375.0,0.0,334.5,0,9.5,8.0,40.0,8.9,33.0,1,1.0,0.16347169811320755,0.1903689830609228,0.24753698620662484,0.6179775280898876,0.4899783196806555
62,316,"BRI No. 3 (Japan), ws22bs",Spiral,Double Cantilever,Feff computed,Flexure,322.0,250.0,500.0,31.6,375.0,0.0,366.0,0,9.5,8.0,38.0,5.9,63.0,1,2.0,0.1370886075949367,0.04021030293284571,0.20758639666061893,1.7796610169491522,0.5540116198929973
64,318,"BRI No. 3 (Japan), ws26bs",Spiral,Double Cantilever,Feff computed,Flexure-Shear,161.0,250.0,500.0,31.6,382.0,0.0,386.5,0,12.7,8.0,37.0,3.9,37.0,1,2.0,0.2495707544303797,0.031591465578028465,0.10379319833030946,1.5811965811965814,0.7856197729731355
65,319,"BRI No. 3 (Japan), ws27bs",Spiral,Double Cantilever,Feff computed,Flexure,322.0,250.0,500.0,31.6,345.0,0.0,334.5,0,15.9,8.0,40.0,8.9,42.0,1,2.0,0.3532939746835443,0.12543525895628166,0.20758639666061893,0.7865168539325842,0.4980034092301829
66,320,"Arakawa et al. 1987, No. 1",Spiral,Double Cantilever,Feff provided,Shear,0.0,275.0,300.0,28.8,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,100.0,1,1.090909090909091,0.5162314049586776,0.026275138557296445,0.0,2.7777777777777777,2.934593692473316
68,322,"Arakawa et al. 1987, No. 3",Spiral,Double Cantilever,Feff provided,Shear,215.0,275.0,300.0,28.6,366.0,0.0,0.0,0,16.0,12.0,23.0,0.0,0.0,1,1.090909090909091,0.5198414147835635,0.0,0.1265660299915899,2.0,4.068249664091903
71,325,"Arakawa et al. 1987, No. 8",Spiral,Double Cantilever,Feff provided,Shear,215.0,275.0,300.0,31.4,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,35.0,1,1.090909090909091,0.4734861293888509,0.06885568611921182,0.11527988718979207,0.9722222222222222,1.606665214450584
72,326,"Arakawa et al. 1987, No. 9",Spiral,Double Cantilever,Feff provided,Shear,215.0,275.0,300.0,30.5,366.0,0.0,368.0,0,16.0,16.0,20.0,6.0,50.0,1,1.090909090909091,0.6499438016528926,0.04962124527541886,0.11868158877899905,1.3888888888888888,2.498800695654154
73,327,"Arakawa et al. 1987, No. 10",Spiral,Double Cantilever,Feff provided,Flexure-Shear,215.0,275.0,300.0,30.2,366.0,0.0,368.0,0,16.0,8.0,20.0,6.0,50.0,1,1.090909090909091,0.32820009851677523,0.05011417155298925,0.11986054495892288,1.3888888888888888,1.427090433257014
74,328,"Arakawa et al. 1987, No. 11",Spiral,Double Cantilever,Feff provided,Shear,430.0,275.0,300.0,28.7,366.0,0.0,0.0,0,16.0,12.0,23.0,0.0,0.0,1,1.090909090909091,0.5180301206553979,0.0,0.2522500667428203,2.0,3.5851316547384924
75,329,"Arakawa et al. 1987, No. 12",Spiral,Double Cantilever,Feff provided,Shear,430.0,275.0,300.0,27.8,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,100.0,1,1.090909090909091,0.5348008799571913,0.027220287426263947,0.2604164358100339,2.7777777777777777,2.531022062264917
76,330,"Arakawa et al. 1987, No. 13",Spiral,Double Cantilever,Feff provided,Shear,430.0,275.0,300.0,30.5,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,50.0,1,1.090909090909091,0.48745785123966945,0.04962124527541886,0.2373631775579981,1.3888888888888888,1.9414643374532217
77,331,"Arakawa et al. 1987, No. 14",Spiral,Double Cantilever,Feff provided,Shear,430.0,275.0,300.0,31.3,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,35.0,1,1.090909090909091,0.4749988646265149,0.06907567233684508,0.23129638707728248,0.9722222222222222,1.6251997920090397
78,332,"Arakawa et al. 1988, No. 15",Spiral,Double Cantilever,Feff provided,Flexure-Shear,0.0,275.0,450.0,32.0,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,1,1.6363636363636362,0.4608,0.032644003664119396,0.0,2.0833333333333335,1.6170649153132122
79,333,"Arakawa et al. 1988, No. 16",Spiral,Double Cantilever,Feff provided,Flexure,0.0,275.0,450.0,31.3,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,35.0,1,1.6363636363636362,0.4711054313099041,0.07151584554439666,0.0,0.9722222222222222,1.0220362608387008
80,334,"Arakawa et al. 1988, No. 17",Spiral,Double Cantilever,Feff provided,Shear,215.0,275.0,300.0,31.3,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,1,1.090909090909091,0.4711054313099041,0.033374061254051776,0.11564819353864124,2.0833333333333335,2.3032579711370857
81,335,"Arakawa et al. 1988, No. 18",Spiral,Double Cantilever,Feff provided,Shear,215.0,275.0,450.0,31.1,363.0,0.0,0.0,0,16.0,12.0,23.0,0.0,0.0,1,1.6363636363636362,0.4741350482315112,0.0,0.11639191182506337,2.0,2.6253097065065103
82,336,"Arakawa et al. 1988, No. 19",Spiral,Double Cantilever,Feff provided,Shear,215.0,275.0,450.0,31.2,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,1,1.6363636363636362,0.4726153846153846,0.033481029399096814,0.11601886082562408,2.0833333333333335,1.5363064295762687
