% eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
1.46582	0.56178	1.04274	0.08607	0.31696	4.23749	4.94899	0.47936	8.00795	0.01544	0.61594	0.07094	0.03705	0.91686
1.76807	0.67795	0.98827	0.69633	0.16440	0.47636	1.51530	0.94676	2.57661	0.01395	0.60480	1.39073	0.02594	1.88670
1.29971	0.55273	0.97731	0.49496	0.54703	0.43542	0.20424	0.57040	3.70307	0.01119	0.85068	0.82968	0.02871	0.73844
1.28820	0.57528	1.02597	0.29600	0.25407	3.48517	2.28939	0.81461	7.22915	0.02050	1.38124	0.08394	0.03374	1.27069
0.89004	1.07009	1.01032	0.87042	0.72485	2.13051	4.19978	0.99681	2.14092	0.00907	0.71753	0.68399	0.03505	1.01764
1.85164	8.06759	0.97788	0.37152	0.08372	3.95688	4.65849	0.81777	6.14359	0.00070	2.40790	0.86926	0.00211	0.42885
1.78186	6.83441	0.99722	0.08226	0.82884	1.86004	2.58204	0.51998	2.26468	0.00221	0.78569	1.28971	0.00133	0.25544
1.81257	0.95506	0.99843	0.79143	0.41256	1.21424	0.46060	0.76453	3.69188	0.03009	4.21611	0.99262	0.03117	0.19445
1.68462	0.55557	1.02170	0.23469	0.17361	0.66103	1.47196	0.86844	1.93218	0.03395	2.53378	0.75521	0.01981	0.83381
1.05371	0.54094	1.03298	0.46773	0.54840	2.41490	3.80166	0.43074	1.29757	0.02309	7.54237	0.98804	0.01251	0.31937
1.30670	0.77134	0.98176	0.43496	0.93604	1.24265	1.19233	0.78909	1.94659	0.01112	7.70173	1.09954	0.00716	0.25823
1.74153	2.84581	0.96208	0.27946	0.04235	3.61427	4.70746	0.31881	1.74514	0.00058	2.95891	1.71361	0.04205	0.71901
0.84434	1.05997	1.01053	0.45324	0.24489	1.46486	2.79247	0.32958	1.75601	0.02912	2.40839	0.62819	0.01290	0.20721
1.31337	0.93144	1.00364	0.06397	0.39276	2.36921	1.13967	0.74281	3.13964	0.01706	9.52982	0.16453	0.00271	0.22839
0.70526	0.80771	1.04538	0.15852	0.25075	1.70557	1.59857	0.86500	3.34822	0.00650	7.54269	0.19883	0.00654	0.27058
0.92296	2.66971	1.03648	0.37604	0.04605	0.94362	1.19884	0.68365	1.44654	0.00723	9.70236	0.65292	0.03386	0.18662
1.35432	1.46141	1.03347	0.49574	0.47230	4.04300	2.43624	0.84910	1.85429	0.00653	4.18975	0.67527	0.03515	0.19580
