% eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
1.04195	1.14164	1.02893	0.34268	0.24510	2.35066	1.62300	0.64698	1.49995	0.01115	9.64246	0.15705	0.00466	0.53598
1.10024	0.57931	0.97647	0.88822	0.24917	2.49477	2.89280	0.77994	2.77319	0.03321	1.52822	0.24383	0.00635	0.79364
1.37969	1.43437	1.03414	0.33815	0.65297	1.23713	1.53877	0.86803	3.74323	0.00404	2.02827	0.07198	0.00138	0.71443
1.66015	2.30957	1.02976	0.36767	0.44067	1.91788	2.30970	0.69813	4.85255	0.00061	6.54392	1.38277	0.00090	0.27559
1.38990	0.51095	1.01206	0.20192	0.52931	3.22510	4.36600	0.51690	1.77944	0.01028	3.37941	0.93642	0.02733	1.25910
1.73478	0.99233	0.99323	0.42176	0.11925	2.75679	4.24220	0.15567	1.93818	0.03678	6.27102	1.81033	0.02726	0.86261
1.33242	2.77545	0.96703	0.36892	0.71015	3.12520	0.38910	0.34986	2.69022	0.01013	2.78163	1.23232	0.00361	0.33811
0.62091	0.65796	0.98728	0.64566	0.67787	1.80363	1.15147	0.44117	1.95541	0.03429	8.40354	0.76184	0.01139	0.89582
1.28798	0.56583	0.95514	0.38635	0.53886	4.12330	3.50775	0.30982	1.29815	0.01584	1.47499	0.38634	0.00726	0.87448
1.50539	0.75127	0.96520	0.24952	0.71621	1.69206	2.31698	0.92123	2.98669	0.02829	4.78533	0.21122	0.00392	1.03941
0.87840	0.73615	0.96562	0.26489	0.43690	1.06209	2.37573	0.80673	6.46334	0.01067	6.30920	1.07701	0.00316	1.32096
0.61858	0.84843	0.97614	0.29316	0.61626	0.34251	0.62605	0.76337	2.64561	0.03415	9.48913	1.28758	0.00678	1.22487
1.77620	0.90291	1.00114	0.59757	0.26036	2.20725	0.12230	0.82830	1.28788	0.01901	5.26039	0.57581	0.00762	0.80368
1.46116	0.53053	0.99133	0.61337	0.55969	1.05511	1.53542	0.96813	5.88675	0.00640	9.34850	0.24838	0.00513	0.40740
1.37358	0.83126	0.95262	0.24860	0.56822	0.33479	0.98461	0.75299	1.99365	0.01842	3.59088	0.11132	0.00101	0.69014
0.76062	0.65555	1.01191	0.27367	0.44547	0.31226	2.26327	0.65568	8.71114	0.02830	3.50494	1.48932	0.00612	1.72958
